Id,Message,Labels
1290756871758938112,o amigo hj deu um belengo pra fazer a obra ritmado,O O O O O B-Drug O O O O O 
1290721238990696449,o rei do belengo está cada vez mais maluco,O O O O O O O O O 
1290718322263298050,ta dando um belengo c o guerrero,O O O O O O O 
1290700109479641095,tenho que ir lá no belengo pra furar o nariz denovo e to com mt preguiça,O O O O O O O O O O O O O O O O 
1290651517968580611,um comentarista falou isso ontem depois do belengo,O O O O O O O O 
1290500447103459329,pprt falador de merda do crlh ele deve saber mt sobre dar um belengo kkkk,O O O O O O O O O O O O O O O 
1290456104154128384,caso ocorra este erro aguarde uns minutinhos e tente novamente,O O O O O O O O O O 
1290395218173452288,eu compro ainda disponível,O O O O 
1290126589477261313,nao consigo acessar mais xvideosred da erro no navegador amava assistir de la,O O O O O O O O O O O O O 
1289955768536633346,nem se ele parasse com o belengo,O O O O O O O 
1289707077351350272,fumei um baseado agora que chega chapei o coco vou dar dois belengo pra arriar essa lombra deu a mzr q só o carai,B-Drug_Related O O O O O O O O O O O B-Drug O O O O O O O O O O O 
1289697660538982401,sabadão sossegado sem belengo so maconha kkk pq sou digno ne meu bolso num guenta 5g todo fds nao,O O O B-Drug O B-Drug O O O O O O O O O B-Quant O O O 
1289408056611057665,queria msm era um belengo,O O O O B-drug 
1289379672883699713,alô galera do belengo sextouuuu com s de saudade bb,O O O O O O O O O O 
1289360690998734848,melhor que sair por aí dando belengo,O O O O O O O 
1288985751926054912,o melhor foi o menor perguntando o que é belêngo kkkkkkkkk,O O O O O O O O O B-Drug O 
1288979656385994752,menor tá que nem o doka quando da o belêngo kkkkkkk,O O O O O O O O O O O 
1288896409215926272,deu um belengo kkk,O O O O 
1288878573512777728,belengo foi bão do puro sem royal,B-Drug O O O O O O 
1288786418018521090,kkkkkkkkkkkk bebendo uma cerva e dando um belengo pra ir assistir série até tal hora e pegar no sono,O O O O O O O O O O O O O O O O O O O 
1288772575779328001,kkkk dali um belengo pra ficar avonts,O O O O O O O 
1288661690725392390,maluco ta cheio de belengo na mente mane,O O O O O O O O 
1288656066281181184,so um belengo,O O O 
1288638166178594816,ele nem troca 10 belengo quanto mais 200,O O O O O O O O 
1288305906560704512,usou um belengo,O O O 
1287885785816010752,fui tirar uma melequinha e cortei o nariz feio por dentro com a unha ta sangrando pra cacete parece q eu dei um belengo pique dodo do pixote,O O O O O O O O O O O O O O O O O O O O O O O B-Drug O O O O 
