Id,Message,Labels
1291039245126205440,nu só queria um mdzin do trinca,O O O O B-Drug O O 
1291038163524345856,dono do tráfico kkkkkkk,O O O O 
1291034666565328896,o mc que é conhecido por ser meme nem é mc pra mim kk,O O O O O O O O O O O O O O 
1290724491333640193,hoje era so uma mdzin com as gata kkkkkkkk,O O O O B-Drug O O O O 
1290719067851108352,depende da sua situação em casa se vc n quer q sua família ou seja la quem mora c vc tente interagir c vc trincado acho melhor o mdzin,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Drug 
1290718789785522178,é um mdzin e claro,O O B-Drug O O 
1290716930127560704,caras qual eh mais safe pra dropa em casa mdzin ou lsd puro,O O O O O O O O O B-drug O B-Drug O 
1290331858782347264,o felicidade achei o mdzin q perdi,O O O O B-Drug O O 
1290112850434768898,mdzin eh coisas leves dms q isso ontem sessionzada foi daquela forma,B-drug O O O O O O O O O O O 
1290095209385254918,acho que eu nunca quis tanto tomar um mdzin com wiske,O O O O O O O O B-Drug O O 
1290056229767671809,kkkkkkk se pá que exagerei no mdzin esse dia,O O O O O O B-Drug O O 
1289946266500177926,hoje é dia de tomar um mdzin,O O O O O O B-Drug 
1289798294382624769,os cara se amarra num mdzin né,O O O O O B-Drug O 
1289760535634833408,eu e as menina  cedo md nunca  o povo hj mdzin ns dmsss uai,O O O O O O O O O O B-Drug O O O 
1289739594418786304,queria passa meu sábado com a maca e a zulema tomando um mdzin e matando uns tarados aiai tudibão,O O O O O O O O O O O O B-Drug O O O O O O 
1289720804049948672,mdzin rolando to nem acreditando me belisca,B-Drug O O O O O O 
1289697923203137536,bom eu n sei vcs mas hj eu vo toma 1 mdzin so p fica mec,O O O O O O O O O O O B-Drug O O O O 
1289679430558908416,mdzin pra aquecer a noite kkk,B-Drug O O O O O 
1289663668448190464,não tô dançando na sala ca breja na mão nessa live desejando um rolê com um mdzin na razão não ne,O O O O O O O O O O O O O O O O B-Drug O O O O 
1289557044295421953,tô pensando numa bagaceira de leve mas com aquele mdzin,O O O O O O O O O B-Drug 
1289344459767873539,nomemdzin idade14   estadosp cidade comida fav arroz e feijão estilo musical rap filme fav velozes e furiosos série fav arrow,O O O O O O O O O O O O O O O O O O O O 
1289324099185983489,pra quem curte um mdzin e assistir série assisti el club na netflix,O O O O B-Drug O O O O O O O O 
1289318704111480833,mdzin de leves hj e amanha,B-Drug O O O O O 
1289255140336140295,hj ta bom pra dropar um mdzin,O O O O O O B-Drug 
1289223953894920194,eu corpo implora por um mdzin,O O O O O B-Drug 
1289179253754327046,aparece um mdzin pra comprar e eu sem dinheiro,O O B-Drug O O O O O O 
1289068715640795138,vc tá precisando eh de uma dose de mdzin isso sim,O O O O O O O O B-Drug O O 
1289042612675117056,quinta chuvosa dessa mandei até um mdzin pra dentro,O O O O O O B-Drug O O 
1288960605702021126,fazer um love com um mdzin na boca me identifiquei com o texto,O O O O O B-Drug O O O O O O O 
1288861178496786438,só porq ia usar um mdzin sábado amanheci passando mal,O O O O O B-Drug O O O O 
1288636591896961024,n fala assim que eu fico tentando cara sabe q eu n resisto a um mdzin,O O O O O O O O O O O O O O O B-Drug 
1288582954155991042,mano a gente tem que parar de beber kkkk,O O O O O O O O O 
1288582622415925252,kkkkkkkk fdpppp,O O 
1288582088812367878,eu todo dia kkkkk,O O O O 
1288440091283685377,sdd né minha filha tomar um mdzin e amar o role inteiro kkkkkkkkkkk,O O O O O O B-Drug O O O O O O 
1288142302934896641,quando o mdzin tá o aço,O O B-Drug O O O 
1287928443041013760,quando ta com mdzin estralando,O O O B-Drug O 
1287888832147402752,sexta pega a tal da braba e começo do mês mdzin top nem queria,O O O O O O O O O O B-Drug O O O 
1287806756865945601,fritando no nelix falto uma roda e um mdzin,O O O O O O O O B-Drug 
