Id,Message
1291048686009626624,caraí  verdim
1291045408316313601,vade verdim
1290991509446234113,só pq não bebo e chego mal em todas as festas da família dizem q uso o tal cigarro du verdim kkkkkkk
1290899781540286467,kjjkjkjjkkj engraçado demais achar um verdim que você não lembrava ter sem intenção alguma
1290877766389370880,pprt amg kkkkkkkk vem de verdim
1290877648604934144,meu verdim ta fzd falta kkk to dormindo tarde direto
1290780799059492869,n sei se vai ser bom pra gente todo dia quando acabar a caminha ir em verdim comprar lanche kkk n vai adiantar muito eu ir caminhar e fazer isso kk vamo rever esses negócio
1290777366915096577,sou viciado num verdim
1290774660578193410,estudo e  buscando a melhora
1290748666303647746,ma yoxtur ija  al verdim
1290722603146063872,az once 1 paket ruffles 1 paket sigara 4 efes malta 6677 lira verdim
1290703895178567681,vo ter q pintar umas blusas e uns negocio c o ghost verdim e a marca do ciggy pq eh fofo demais caras
1290694318047604738,mora em sp tenho o verdim  kkkkkk
1290661692771311618,sdds verdim perfeito
1290612766924054528,tô de marola fumano meu verdim
1290501810575290369,mano que foda louca foi essa kkkkk  o bagui fica doido quando se fumar um verdim
1290372554390228992,tek 1 falso verdim
1290367191423033344,ona 20 lira para verdim
1290333041794207744,lança um verdim nas pontas ou nas mechas fica chic dms ainda mais q seu cabelo é clarin
1290289999913467905,já vou p outro planeta no meu pren verdim nesse ai é teto preto
1290099703690850304,esse verdim ta de lá taaa
1290075551135219712,pizza flango com catupily esfiha nunca comi  bolo creme c morango sopa flango pastel flango com catupily empada frango molho aquele verdim torta de limão sorvete doce de leit suco acerola   chá
1289946214385950728,mataraya verdim sjjzzjj
1289945701183557633,marolano um verdim de qualidade kk
1289944705212379138,pagode  cerveja  verdim
1289921475235835904,corouna mas n e verdim
1289807890295984134,preciso f1 verdim
1289780750418472960,vamo ver akele filme trouxe akele verdim
1289762204338622466,afim de um verdim viu pra desestressar
1289732125793583106,sé loko o russo curtia uma branca o tim era puro verdim prefiro o tim
1289694778049703936,quem tem o verdim
1289679306583445507,para um primeiro cultivo estou me saindo bem hehehe
1289668148031918080,puahahhauaha nabim para verdim ona
1289634890619609090,o verdim se preparando pra tirar todo meu estresse confusões e me deixar 1000 relaxada pra continuar o dia
1289621719209005061,viral verdim
1289560828212056064,van gogh só amou o amarelo pq nao conheceu os verdim
1289540275619213319,estou parecendo minha amiga gabi com vontade de almoçar 0935 da manhã kkkkkkkk putz já vou pedir a marmita no ifood kkkk verdim é foda
1289409794810372096,verdim de 5 conto foi reabastecido
1289328182210908160,para da verdim
1289296073547284483,eo verdim chama q está tendo ta legalizadooo ja ta legalizadooo
1289271379217379329,verdim bro
1289211403501318147,1 kq verdim
1289132512925622273,mas eu vou ir a rapaziadinha do churso deixa a desejar nao e salva no verdim
1288997651355181058,o peito ta com duas variedades de catarro verdim e amarelin
1288987104823975938,to fumando o primeiro beck e disse que ia fumar um por gol mais fumar solo um verdim desse ta pancando
1288978343308779523,diretamente de madrid na madrugada fumando un verdim e vendo a batalha digital batalha começou top kkkk
1288910182932713474,vou ali buscar um verdim p fumar se não hoje eu não vivo
1288620354634682369,sem dúvida
1288596589829922818,fuma um verdim agora depois do trampo
1288553888908533770,matim verdim pro lobo guara correr eu nem sei se no habitat dele tem matim mas edai
1288500590734172165,meu leite é verde de tanto fuma do verdim
1288395131356413957,for ex verdim
1288390840205942790,man e o pior eh q alterna sabe às vezes eu sou o verdim às vezes eu sou o bruno
1288311528001884160,agora tudo bem  to de marola fumando meu verdim  escutando poze no rolê do trem  nunca perde a poze as vezes só pra mim
1288304348045418497,só quero queimar meu verdim não quero guerra com ninguém
1288262544524816384,oia verdim
1288190212011626497,kkkkk eh mtbom ver esse ts verdim
1288167243315064832,lolo colchao choro verdim e lokal
1288131027022610432,25 do verdim barata qualidade ótima só comigo chiaaaa obs  trabalhamos só com pedaços
1288130698163957764,ai galera da droga chiooo o verdim do poca chiaaa direct
1288119313677742081,solta o verdim e enche a taça esse mundo ainda me mata
1288111084402905096,eu tenho é só um verdim do classe a pro fim do giro
1288108686087344129,qualquer lugar que eu vejo verdim umidim abafadim meu coração já fica quentim a vida tropical é tudo
1288037767939788802,acordei ainda agora aperdei o do verdim tomei um café na quele pique agora segue os trabalho
1287945359982039040,td bem tô de marola fumando meu verdim
1287914093383483393,i agora tudo bem  tô de marola fumando o meu verdim escutando poze num rolê de trem
1287854037371695109,abre a mão  do verdim
1287798479977246721,certo rolar o verdim depois do rango
