Id,Message,Labels
1291083022377390086,fina ironia do   quero dizer só ironia mesmo hahaha,O O O O O O O O O 
1291082947597152259,é gostar demais de esquentar o cu com rola fina bicho,O O O O O O O O O O O 
1291082906824331271,hoje eu conversei com um dos melhores professores que eu já tive na vida cara é gente fina dms,O O O O O O O O O O O O O O O O O O O 
1291082695011979270,gostosa kskskskks tô zoando vou avaliar como parece gente fina,O O O O O O O O O O 
1291082509837533185,totalmente demais 42 fina grelo 26 vem,O O O O O O O 
1291082429701197825,nao é fina tipo a do jungkook mas nunca que é do mesmo tamanho que a do namjoon é bemm menor,O O O O O O O O O O O O O O O O O O O O O 
1291082293059223552,eu bem fina e plena na gravação do meu visual set,O O O O O O O O O O O 
1291082280534970368,o contador é gente fina mas toda vez que chega mensagem o coração já dá aquela cambaleada,O O O O O O O O O O O O O O O O O 
1291082237388234752,odeio ficar puta da vida e ter a voz fina ninguém me leva a sério cara wtf,O O O O O O O O O O O O O O O O O 
1291082219130368002,onde que o yoongi tem cintura fina fernanda eh angulo,O O O O O O O O O O 
1291082135382700038,da  desta terça 0408 fina estampa 357 jornal nacional 328 totalmente demais 322 sp2 260 êta mundo bom 233 média dia 171,O O O O O O O O O O O O O O O O O O O O O O 
1291082056655659011,onde tu viu isso mano tudo nele é pequeno menos a mao e o pé é ilusaoooo a cintura dele é super fina,O O O O O O O O O O O O O O O O O O O O O O O 
1291081700961853440,pelo menos minha cintura ficou fina e natural,O O O O O O O O 
1291081693236002818,na exibição original fina estampa deu quase 60 pontos em salvador agora na reprise no mesmo horário não consegue nem 30,O O O O O O O O O O O O O O O O O O O O O 
1291081561702567936,gostei n do corpo dela tem algm coisa mto fina ali,O O O O O O O O O O O 
1291081531214016512,novo mundo27 fina estampa25 bahia lenda aaaa,O O O O O O O 
1291081209645281281,poise fina estampa flopa la por isso a record bomba no horário das 9 mas no horário das 7 a globo suga tudo,O O O O O O O O O O O O O O O O O O O O O O O 
1291081057790504962,to precisando de opiniões pra sabe se eu devo fazer merda ou não as opções são referentes a treta com a minha mãe fazer a fina é desligar o wifi e fechar a porta como se nada tivesse acontecido deboche raso é fechar a porta e deixar o wifi ligadok corna  debochar de tudo,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291080990870376450,canela fina,O O 
1291080919944761345,atenção  testei positivo para o mais gente fina do twitter,O O O O O O O O O O 
1291080863095173122,o mano eu tentei ser gente fina mas nao sai do colo nunca,O O O O O O O O O O O O O 
1291080818727759876,ele comeu o r no final então é errado né,O O O O O O O O O O 
1291080446403588102,g de gente fina,O O O O 
1291080439818596360,hoje eu não perco fina estampa por nada,O O O O O O O O 
