Id,Message
1291087156736413696,fui terminar de ler blinding lights e queria mto entender qual a da mina que fica comentando parecendo uma tiazona e dando em cima do namorado da pam
1291086985738715137,ele já viu amigooo
1291086774035513345,quem é pam
1291086601284718599,perde a chance de fica calada
1291086591931424769,a pam ta estressada então não foi bom
1291086368811233282,realmente to feliz que os sprints da pam hj vao começar as 20h kkkkk as 2130 nao conseguia nem terminar o primeiro sprint durmo mt cedo sim
1291086092280700929,eu perguntando pra todo mundo na secretaria
1291085491543171077,tomara que eu vire mesmo a mulher que mais amo a pam
1291085393593602049,tava com fome desculpa
1291085181818986501,roi jantou cedo hj né
1291085154346295296,sem generalizar zuaram o acidente da chape zuaram a morte da salomé zuaram a morte da renatinha zuaram o acidente do henrique atos racistas durante um jogo gritos homofóbicos durante um jogo mascote sendo machista querem pagar de moralistas agora enfim a hipocrisia
1291084793837494273,musa diva arrasou
1291084528551964672,meu deus tudo
1291084467004747777,cá estou eu chorando com o ep q mostra toda a evolução do jimmy e da pam
1291084412705267712,putz  jantando na hora do café da tarde
1291084400130772994,58 1548 pam faz o seguinte vou apagar a conversa aqui aí tu me manda mensagem falando que vai pra lá aí eu peço minha mãe 58 1549 monick falso ta kkkkkkkk 58 1550 pam pode mandar kkkkkkkkkk amigas servem pra isso
1291084376025882626,nossa eu tento desviar toda hora desses pensamentos mas o nossa vc é uma fracassada sempre ganha
1291084247416086528,alô mãe to famosa
1291084201698177024,se conseguir manda no grupo pam
1291084196547629058,que jantada
1291084107963944960,sou ótima fazendo bolo feio e gostoso
1291084089345413120,aqueles produtinhos que amamos da     segue aí no insta pamvy
1291084071800627200,aula síncrona as 19 hrs e eu desde manhã passando mal só de pensar na  de ter q ligar o microfone e falar deus pq me fizestes tão
1291083973775499265,oq a pam ficar eu chipp serio kkkk
1291083968872415233,por você até o sharingan desperta por amor
1291083787531476992,linda gostosa maravilhosa te amo
1291082767875416064,hj vai
1291082752201240578,hoje faz 1 semana em que a pam se foi e isso ainda me deixa baqueada
1291082665190449153,oi amor
1291082626812579842,oi amor
1291082570894106625,queria malhar meter um shape pam birl derrubar arvore é o carai n é água c musculo e tal
1291082570860580864,a solidão sabe
1291082545015263232,oi bb vem sempre aqui
1291082449779404803,oi lindo
1291082373505978368,lindas
1291082253754400769,visshhhh cê que não me viu puta ainda kkkkkkkkkk
1291082175698423810,aham
1291082111047421952,pode ser qualquer destilado
1291082088096161793,eu não tô brava não doida kkkkkkkkk tô só zoando com vc
1291082051353968641,já floresceu aqui ipês ufopianos
1291081988024270848,amiga vc tá puta e eu to aqui conversando de boa pra que tanto ódio se poupe kkkkkkkkkkk to dizendo que apareci lá mas foi brincadeira ce que tá brava aí kkkkkkk
1291081895267258369,pam aparece mais aqui pra gente fazer aqueles joguinhos com músicas e tals
1291081852149735437,meu deus tadinho do jim pam pfv da uma chance namoral
1291081837884968961,nao espero ter ajudado
1291081777029820417,marca ele no meu post então
1291081762030923777,muito boa pam
1291081750911815680,amiga o que que tem a ver
1291081727117529094,amém pam
1291081678908203008,fazer o que né te apoio
1291081427203829765,kkkkkkkkkkk tomar no cu não é o mesmo que falam aqui afinal o perfil jantadasfut me segue
1291081281997099008,jantar a laura lage nunca é demais para um cruzeirense se acostume
1291081097971982336,isso é vdd já recebi a mesma jantada 60 vezes
1291080978794975237,e a pam que me mandou coxinha do ragazzo que veio do habbibs  eu te amo
1291080957051764738,top comprei da anethuun depois vc da uma pesquisada p vc ver
1291080779007754240,kkkkkkkkkk tô acostumada já amor
1291080733080125444,chitãozinho e xororó  40 anos entre amigos  via
1291080669108539392,todo mundo kibando a pamela uai  se eu fosse vc entrava com direitos autorais sem dó
1291080629774422016,agora que eu percebi que tem umas falas de the office na musica da billie eilish do nada eu ouço a voz do steve carell e da pam mds kkkkkkkkkkk
1291080574946484225,puta merda
1291080311208542220,bem solidário ele
1291080085643186178,eu tinha um ódio
1291080011437539329,lindo maravilhoso te amo
1291079884605927426,tomara q esse funcione
1291079839924064256,quaaaaal vc comprou
1291079822739939329,obrigada filha
1291079724974964737,eu quando saiu a nota de micro
1291079668377038849,e o lucas na live falando pra pam não bater nele com o carro dela a fama de boa motorista da minha filha
1291079307251548160,não dá pra acompanhar não
1291078772339494912,chata feia boba
1291078661442015234,que não seja eu amém
1291078522694508544,corre aqui rapidão
1291078391597338625,odeio atender o telefone aqui em casa quem atente é a minha mãe como ela não está 3 semanas sem atender
1291078296625700866,o jim a pam e a cece combinando fantasia meu deus vou morrer de amores
1291078137468649472,ai pam primeiro casamento q chorei vendo é tao lindo
1291078134347988993,a alegria do dia foi conversar com a pam gonçalves sobre a colleen hoover no grupo do telegram e descobrir que pensamos as mesmas coisas
1291077993339723779,tá jatando muito cedo
1291077974859685895,tb amo você
1291077824930078721,até mais fofa
1291077766696370180,será que vai me notar algum dia
1291077660270108672,blz amor bjo
1291077163463127041,carai
1291077158413246465,nunca nem vi essa pra falar do histórico de fracasso do seu time precisa copiar de ninguém vcs em si já são a piada 49 anos solidário no brasileiro
1291076991853232128,pam bimbo bloq¿
1291076976774647812,ia falar ou jogo mas não eras jogar sozinha
1291076974727790592,pam  todo mundo ama fanfiqueira viciada em celular não perde uma chance de encher o saco do povo do squad
1291076899230437381,com gosto maior rabao gostoso
1291076572875718657,o q faço leio vejo filme vejo série arrumo a playlist ou durmo
1291076418156277760,na cara naaaaaao
1291076375357673472,na cara não po kkkkkkkk
1291076330033950720,vc copiou da moça  ela já postou isso n se faça de sonso
1291076266880380930,mais uma piriquita minhas amigas só botam mulher pra fora kkk só pam mesmo que saiu do trilho e trouxe nosso menino anthony
1291075624937951233,solidário é o atlético que não ganha um brasileiro a 50 anos pra deixar pros outros
1291075482230951938,meu pai postou um textin pra mim e colocou uma música da ivete pq pasmem eu nasci no dia que ia ter show da ivete na minha cidade todo mundo arrumado e minha mãe em trabalho de parto kkkk estraga role
1291075456339501056,q rolo q ela fez pqp mkkkkkkkkk
1291075412680900609,namora cmg pra eu tuitar isso pra vc
1291074492631056385,você é uma grande gostosa minha filha
1291074474192916480,pam aqui
1291074166834290688,se você tiver que decidir entre o mundo ou o  se você escolher o mundo ficará sem o amor mas se escolher o amor com ele conquistará o mundo
1291073892510031879,gastei todo o dinheiro que eu tinha em doce tpm tóxica
1291073787191078914,quem n te conhece q te compre aiaiai
1291073693800493056,qual vai ser a treta da x
1291073606294867969,final de semana vou passar em sj
1291073380372938753,menina gostosa
1291073289285140481,parabens pam tudo de bom pra ti linda
1291072954802016259,chorando pela primeira vez por um casal  jim e pam esse é o tweet
1291072861701111808,queria ter esse corpinho
1291072661188218882,felicidade de agosto meu curso ta acabando o maravilha
1291072649435787264,eu tenho muito orgulho de você eu te amo
1291072647082717185,meu último neurônio
1291072611099848706,theo deve odiar ter o otávio como irmão kkkkk
1291072548676014082,eu vou nos bife e meus prato nunca da por kgsempre livre
1291072449384263681,hoje eu começo uma nova fase na minha vida tô tão feliz
1291072389351186432,kkkkkkkkk socorro pam
1291072379331006466,comi igual uma cavalo no almoço
1291072240344334336,vou ver a mika hoje to com a gab desde ontem pam vem pra cá find
1291072089408012288,oi pam
1291071593653964805,será q se eu arranjasse um jim eu seria a pam dessa pessoa
1291071565753397248,casamento do jim e da pam foi perfeito morri de rir c a entrada na igreja aff amo
1291071391219949568,acho que meu exame de lactose deu negativo mas mesmo pesquisando e pedindo opinião de outras pessoas ainda to insegura se é isso mesmo
1291071198038757389,iala kkkkk sou sim tá
1291071114450526211,olha guerreira viu kkkkk
1291071024805613568,pior que n errou tirei segurança
1291071011740360709,aí amg vc vê um tweet que hitou e puf nazaré amarga posta a mesma coisa como se fosse autoral o ódio
1291070966714503170,coisas q tu faria
1291070669422198784,por isso a gente se dá bem duas fudidas kkkkkk
