Id,Message,Labels
1291071049417871360,cara vc é dodoi da cabeça river não criou nada o jogo todo só sabiam bater até o gol deles foi falha total do flamengo falha do filipe luis e depois gerson e arao batendo cabeça numa bola morta mas blz fica aí achando que o river foi superior e perdeu de pouco,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291071001963433984,e deve ser considerado titular absoluto meias ofensivos que sabe jogar e tratar a bola é raro no brasil,O O O O O O O O O O O O O O O O O O O 
1291070936939102208,eu só quero joga bola será q eh pedir muito meu deus,O O O O O O O O O O O O 
1291070930974908417,ainda querem colocar bola essas grandonas incubadas que ódio,O O O O O O O O O 
1291070861852774406,a melhor parte de ir à praia com primos mais novos é que podemos jogar à bola e fazer figuras que o pessoal acha que só estamos a fazer aquilo para entreter o miúdo,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070832031268864,obtive a informação que sasha é a bola da vez e nahuel bustos não está descartado mesmo com a contratação do jogador do santos falei tudo sobre a informação no vídeo,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070822661136384,um dia o neymar jr colocou fogo na bola é chutou por céu nesse dia teve sol,O O O O O O O O O O O O O O O O O 
1291070792608907265,e o estudante de direito que não consegue conviver com o próprio estudante de direito kkkkkkkkk,O O O O O O O O O O O O O O O O 
1291070789932941313,e virarem se contra mim e virarem outros não sabendo mesmo o motivo  desiludido mas bola para frente  sei com quem contar e com quem realmente se preocupa cmg por todas as coisas que me tem acontecido nunca me abandonam  só espero conseguir estar em paz  assunto morreu,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070779170402304,o problema é o contexto o clayson costumava dar assistências através de escanteios porém no contexto geral produzia pouco o sornoza idem luan tem bola mas aparenta faltar mais disposição mais vontade estar mais ligado na partida,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070763416649734,neste cenário de posse de bola dividida o shakhtar encontrou duas  que foram  o domínio sobre as segundas jogadas aproveitando o  ruim de maximilian arnold e a fluidez para progredir com apoios por dentro nas costas dos volantes do rival,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070760258240513,em geral o wolfsburg alterna fases de pressão médiaalta com defesa organizada em seu próprio campo os atacantes orientam a primeira construção aos costados e geram  no setor da bola para pressionar o portador bom xaver schläger lançando pressões e recuperando,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070725051252738,sábado vou volta a jogar bola,O O O O O O 
1291070715697889280,janela de  20192020 15 bilhão de euros janela de  20202021 7 bilhões de euros,O O O O O O O O O O O O O O 
1291070701189955590,é pq a bola de futebol é feita justamente para se chutar bola de vôlei não pq é de vôlei e é feita pra se jogar com as mãos,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070682089107457,kkk martha só se for pra aperfeiçoar as firulas do neimala e treinar penalty pra fora do gol ela só se interessa na bola de ouro e pipoca muito em jogos decisivos menos,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070681438998529,bola pra frente pq pra trás é gol contra,O O O O O O O O O 
1291070673192988673,pessoal gosta de pagar de burro na internet nem dá bola,O O O O O O O O O O O 
1291070595665465346,ahhh assim nem me sinto mais sem amizade com uma crush de amizade dessa to com a bola todaaa s2 pandemia dos infernooo kkkkk,O O O O O O O O O O O O O O O O O O O O O O O O 
1291070576371662849,acham q sou metido por não vos dar bola,O O O O O O O O O 
1291070550652133376,desculpa n da bola e nem ve oq tu tweeta eh q tais silenciada,O O O O O O O O O O O O O O 
1291070543588986882,o mlk na aula “o mundo na vdd é a bola de outro q o neymar ia ganhar esse ano”,O O O O O O O O O O O O O O O O O O O O 
1291070536118870016,mais e a bola de ouro tem,O O O O O O O 
1291070510542082049,vou bola um e fuma deitadinha q eras maixx,O B-Drug O O B-Drug_Related O O O O 
1291070499355791360,caralho eu sou mto burra pqp que vontade de chorar c a bola fora q eu dei agora,O O O O O O O O O O O O O O O O O O 
1291070491550257157,fazia tempo q não vinha no banheiro pra bola um beck,O O O O O O O O B-Drug O B-Drug 
1291070480141766663,precisa nem ter ritmo  põe aos 80 que numa bola decidem k jogo,O O O O O O O O O O O O O 
1291070477616717826,sim amg minha bola de cristal ficou presa na alfândega,O O O O O O O O O O 
1291070475691532288,cá está pedro silva claramente a desviar a trajectória da bola com o  que lhe cresceu no peito lucílio baptista e a sua equipa demonstraram aqui grande capacidade técnica para ajuizar este lance,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070475020509185,nao superei a saída do garotinho desespero saudades volta gênio da bola,O O O O O O O O O O O O 
1291070459140767744,mentira nadie me da bola,O O O O O 
1291070411250311168,não foi a toa que o aras evocou os militares como poder moderador já estavam cantando a bola,O O O O O O O O O O O O O O O O O O 
1291070406544297984,chutei a bola na torneira e ela explodiu água na minha cara,O O O O O O O O O O O O 
1291070384566149121,bola dentro da diretoria ngm merece ruimchely,O O O O O O O 
1291070372977291265,acho que o povo esqueceu que a gente tá em meio de uma pandemia mercado livre tá atrasado e a bola de cristal que eu comprei ainda não chegou,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070371882512384,drake e a sua bola,O O O O O 
1291070323350294537,um dia julia deu uma bola pra uma criança hoje essa criança é conhecida como cristiano ronaldo,O O O O O O O O O O O O O O O O O 
1291070317650223106,os dois são muito bom jogadores cazares jogar como camisa 10 muito bom o problema dele é fora de campo otero e jogador habilidoso com forte chuter de falta bater em qualquer longura muito bom problema é que é muito fominha e não sóltar a bola rápido,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070313594261506,a professora de artes foi analisar os desenhos olhou pro meu e me perguntou o q era a bola eu disse q era o sol  então ela criou a teoria de q na minha familia eu enxergava muito pouca luz e mais um monte de coisas relacionadas ao sol q era a cabeça do meu pai,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070302072582154,alan patrick comendo a bola pelo shakhtar donesk nessa liga europa e eu vejo gente q é contra a um possível retorno dele aqui no flamengo,O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070301233647617,deu bola pras minhas idiotices eu já fico tchubiraum daum daum,O O O O O O O O O O O 
1291070290496299012,dia lindo pra bola uma vela ne,O O O O O O O 
1291070286872354816,pois há um sério problema de saúde mental no país  mesmo aquelas pessoas com quem nos cruzamos e pensamos  mea culpa este gajo não bate bem da bola,O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070281021358082,se eu for a bola preta eu vo chorar,O O O O O O O O O 
1291070279029084160,bola dentro,O O 
1291070273417097216,vem aí dua lipa pelada na bola de demolição,O O O O O O O O O 
1291070268476137472,achei na internet um presente que é uma bola transparente cheia de ar o nome é nada presente para quem já tem de tudo se não fosse importado de site gringo eu juro que comprava pro meu irmão,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070247773122561,mais tem bola de ouro,O O O O O 
1291070221437083650,e dentro de campo que é o que vale é o melhor jogador do time no ano sem falar que foi peça muito importante para evitar o rebaixamento ano passado bola pra frente,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070218949844999,fair play tipo aqueles caras que devolvem a bola lá perto da bandeira de escanteio e vão lá pressionar,O O O O O O O O O O O O O O O O O O O 
1291070214717792263,balanço geral e show de bola,O O O O O O 
1291070176952299521,sim mano to mto ansioso  ibra vai ganhar bola de ouro tá jogando mto smc mesmo com 40 anos tlgd,O O O O O O O O O O O O O O O O O O O O 
1291070175727489024,kkkkkkkkkkk olha que minha bola de cristal é uma fofa,O O O O O O O O O O 
1291070155120926722,mas eles ficarem de fora das oitavas é  podem tá jogando nadamas mim jogo desses em uma só bola eles decidem,O O O O O O O O O O O O O O O O O O O O O 
1291070125341376514,até quando vamos esperar q as instituições cheguem à conclusão com suas  q uma bola é uma bola,O O O O O O O O O O O O O O O O O O 
1291070124850589701,quem ouviu o último episódio vai se ligar que o  prometeu a nossa seleção do italiano e esqueceu mas aqui estamos para cumprir o prometido eis a seleção do tempo de bola já ouviu nosso programa sobre a reta final do calcio ouça,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070113542737920,qq adianta ser assim se ngm da bola,O O O O O O O O 
1291070109235261444,se fosse ufc o river seria campeão 27 faltas só assim pra parar o flamengo na deslealdade pq na bola não dava,O O O O O O O O O O O O O O O O O O O O O O 
1291070092483203072,campeões de qualquer jeito com a bola rolando certeza que daria vocês também  lindo gesto maricotas,O O O O O O O O O O O O O O O O 
1291070091124072448,uau eu dei um tapinha na bola futebol para o mundo de 4 em 4 anos e o volei nem quando tenta,O O O O O O O O O O O O O O O O O O O O O O 
1291070061600485377,macho acho que não tem regra definida porque não tem padrão nas marcações de pênalti que envolve mão na bola isso devia ser bem mais claro questão de intenção distância etc,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070035457343489,esse video me acrescentou mais 40 anos de vida,O O O O O O O O O 
1291070035394519040,eu vou ter que dar unf nessa gente mesmo mutuals pq vcs seguem minha filha minha bola de cristal não chegou pelos correios ainda para eu saber,O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070023784636418,e quando a gente insiste  no postinho  pra que alguém meça a pressão e ninguém da bola e as pessoas passam por ti e te ignoram como faz e quando alguém resolver te atender diz se a sra acha q precisa de atendimento urgente a sra pode ir na upa wtf,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070021981044736,o dos bonequinhos qndo dá fav se sim rlx pq é tudo fake  tem uns 4 só q são dos macaquinhos girando da bandeira lgbt da bola de basquete e da nasa lá o foguetinho,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291070020441853953,time desgraçado para de ficar sendo esse time de bonzinho a  sempre prejudicou o cruzeiro e ano passado ninguém teve pena de nós ficar nessa de sendo gentil vai se ferrar igual são paulo lamentável  q eles ganhem na bola  a,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069985566142464,os caras  no ar o programa os caras da bola volta debatendo a final do campeonato pernambucano de 2020  o santa cruz joga em casa em busca de seu sexto título nesta década de quebra o tricolor…,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069984077217794,vamos acreditar nele se pisar na bola sabe que está fora,O O O O O O O O O O O 
1291069982093213697,apesar de  salários atrasados  aumento da dívida  incapacidade de atrair grandes   escapar do rebaixamento na última bola em 2018  começar o brasileirão 2019 afundado na lanterna apesar desse desempenho desastroso realmente a gestão do campello tá excelente,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069980625248258,tu ainda dá bola pra esse cara tudo que ele posta é pessimista e já esperando a derrota infelizmente nossa torcida tá abarrotada com uma glr q se acostumou com o padrão atual e acha que não existe nada além disso é sempre um desespero sem,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069975902457857,não concordo ele n tem visão de jogo pra ser craque pega s bola e vai pra cima mesmo tendo companheiros livres pro arremate a cada tres dribles apenas um é bem sucedido não marca e quando o faz faz falta ta longe de ser craque e isso n tem a ver com a pessoa,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069967471869957,treinou com bola nesta  veja imagens,O O O O O O 
1291069944248053762,não tenho bola de cristal ainda quem é,O O O O O O O O 
1291069928691376134,um desperdício assim como mesut ozil que não joga bola a uns três anos não queria estar na pele do arsenalreal madrid pagando esses salários,O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069906419687424,bola pra  oss,O O O 
1291069905442414598,neste sábado vai rolar uma live braba na house do bola e não poderia faltar vai acontecer uns sorteios durante a live fiquem ligados quem poder fortalecer no rt vai ajudar,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069905392013312,fico feliz pelo willian oliveira cria do campo do bombeiro  pbi tinha que vingar  alguém no fut  tem muito cara bom de bola,O O O O O O O O O O O O O O O O O O O O O O O 
1291069885200715783,eu preciso ver o antes dessa bola,O O O O O O O 
1291069880675033088,eu enfiava minha cara no meio do asfalto depois desse bola fora,O O O O O O O O O O O O 
1291069876224823297,to assistindo agora   show de bola obs as animações tá animal,O O O O O O O O O O O 
1291069834210549762,meu goleirão tomou um voleio ontem que nem viu a bola em,O O O O O O O O O O O O 
1291069804242243586,fiz até uma bola disso no paint kkkkkkkkk,O O O O O O O O 
1291069783119626240,passo mal o olho parecendo uma bola,O O O O O O O 
1291069761921654784,eu odeio odeio odeio odeio odeio quando uma pessoa não diz o que ta incomodando ela chega em mim e fala não vejo problema em ver o que fiz analisar se errei pedir desculpas e falar o meu lado mas bola de cristal eu também não tenho,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069753319096321,quero joga bola demonhoooooo,O O O O 
1291069721689948160,isso tem uma explicação e é simples quem passou por aqui e foi para gandaia e nao era lembrado pq era ruim de bola agora nele a torcida criou e tinha expectativas por 4 anos e 4 anos esperando ele querer jogar e time depender dele simples,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069710113611777,eu indo jogar bola  7 minutos depois,O O O O O O O 
1291069686868783115,acompanho o timão desde criancinha nenhum jogador me fez mais raiva q ele me falta palavroes pra descrever esse desgraçado so de ver ele fico bolado  horroroso  corre esquece da bola  estraga todo contra ataque td nele é ruim  horrível o pior de td cm a camisa do timão,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069663682732032,nem da mt bola ja vi que é homem babaca,O O O O O O O O O O 
1291069659937157120,o vasco teria que buscar alguém que chegue em forma e com vontade e seja bom de bola né caso contrário o bruno gomes da conta ali,O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069637900349440,mano kkkkkmnjjjkj o carro de som passando aq temos bolas coloridas pare o carro e compre ja a sua bola,O O O O O O O O O O O O O O O O O O O O 
1291069637627535360,correct bola,O O 
1291069637442985985,ai pq a criança ta presa dentro de casa por causa da pandemia coitada pois é agora imagina se todas as crianças do prédio brincarem de bola com essa desculpa o caos que ia ser,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069602601074690,muito muito muito bola dentro do vasco colocar dois sócios que foram em todos os jogos do vasco em 2019 pra ver em primeira mão a camisa e ainda fazer um ensaio o sócio precisa ser valorizado,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069597429497856,só queria jogar bola,O O O O 
1291069578634768384,é a bola da vez da elizabeth,O O O O O O O 
1291069575619063808,quero mas joga bola hj n quero bebe,O O O O O O O O 
1291069572418854915,tá show de bola parabéns,O O O O O 
1291069562662920192,vai se ferrar você sempre zoava o meu micro shorts que eu usava pra jogar bola lá na puc kkkkkkkk,O O O O O O O O O O O O O O O O O O O O 
1291069555578732546,não entre nesse avião se ele n defendesse a bola eles não ia ter o,O O O O O O O O O O O O O O O 
1291069513832833025,resumindo não gosto de improvisação  se o julião tiver condições deve ser o titular  muriel    hudson dodi nenê wsilva  evanílson marcos paulo fred pro banco igual a ganso   1 pdisputar a bola,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069493318488065,eu n bato mm bem da bola fds q nojo q nojo tou farta disto,O O O O O O O O O O O O O O O 
1291069467787776003,desde que eu parei de fumar cigarro e quero bola um baco esse filtro é o que me deixa mais a vontade de fumar aqueles muito fino é uma merda o tabaco fica enjoativo,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069421465874438,vamo jogar bola cara de cu,O O O O O O 
1291069416109744129,esse eu queria aqui em joga o fino da bola,O O O O O O O O O O 
1291069398682394626,porque o 5lb é que manda nisto tudo e não permitiu a  dos direitos o 5lb é o gordo que foge com a bola quando só para que o jogo não termine com derrota para ele é isso,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069395096293377,quanto mimimi por causa de um jogo é só ir lá e jogar bola carai,O O O O O O O O O O O O O O O 
1291069379183030272,então vaza chupa bola de politico o cara é streamer de cs,O O O O O O O O O O O O 
1291069369548705793,subida da bola do sos cidade nova,O O O O O O O 
1291069361290121217,sem mbappé di maria e verratti ney vai ter que lançar o moicano e jogar muita bola,O O O O O O O O O O O O O O O O O 
1291069339790123009,é bom treinar com bola de volêi pra dps chutar a de futebol a de volêi é mais leve aí tu consegue dar uma bicicleta mais facilmente por isso se treina futebol com bola de volêi e joga futebol com bola de futebol,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069324850077698,não tenho bola de cristal ainda  pfv,O O O O O O O 
1291069287281692675,a troca posicional entre marcos antônio e alan patrick foi a chave para criar  e abrir espaços o jovem brasileiro tem sido importante ao arrastar adversários com movimentos sem bola,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069241848930313,reclamei no grupo do condominio que a bola da criança do apartamento de cima estava incomodando e acabei como a megera que não deixa criança que esta acuada em casa devido a pandemia brincar kk se esses pais soubessem que a minha vontade é de comer criança assada no café da manhã,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069234269888515,bola,O 
1291069229098315777,sua melhor amiga vc nem dava bola né minha querida ana,O O O O O O O O O O O 
1291069205668941824,assim que a bola parar de rolar em corinthians x palmeiras e no grenal liga no linha de passe para conferir o melhor debate repercutindo tudo o que acontecer nas decisões desta  é às 23h30 na espn brasil e no espn app,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291069190741295107,último beat bom foi bola rebola,O O O O O O 
1291069178049421312,e delinho q tá saindo todo dia p jogar bola mds ele ta crescendo,O O O O O O O O O O O O O O 
1291069174333284356,esses mlks são malucos de querer jogar bola agr num sol desse eu tbm vamos de fut,O O O O O O O O O O O O O O O O O 
1291069172533866498,eu  to me iludindo num nível gigantesco mas to achando que o luan vai jogar muita bola hoje,O O O O O O O O O O O O O O O O O O 
