Id,Message
1291079186388582401,aff tava c crise de ansiedade por n motivos liguei pra theus p poder conv chorei um tico e a criatura ainda mandou doce p mim matheus nem é gente é anjo
1291079184467533825,gritaaaaaaaa kkkkkkkkkk e ainda ficava fitando doce de leite dos outros kkkkkkkkkkkk
1291079105316892679,semella que pretenden estabular no parlamento ás deputadas e deputados nesta nova lexislatura xa vos digo que as do  non van parar nos seus escanos  tamén desde as institucións
1291079070659289088,vontade fodida de comer doce
1291079064275619842,muito chantilly eu abomino qualquer coisa que venha chantilly ou seja  muito doce
1291079062258147328,meu café ficou doce demais
1291079059129212929,a nutella é uma manteiga doce por isso é enjoativo
1291079051868884992,mãe comprou um doce de leite hoje e eu comi metade fui procurar agr e não achei mainha escondeu o doce de leite
1291079038547767297,hahaha brigada amigaaa acho que essa era um purê de batata doce roxa orgânica ela era perfeitaaaa
1291079029295128582,lol não eu apaguei pq eh tinha escrito errado para de mentir português fedido k
1291079025742483456,separei uma prateleira da geladeira pra lanchinhos meus e de maju já organizei ali abacate mamão pure de banana da terra assada com canela também descasquei e cortei batata doce falta mais alguma coisa eu acho
1291079024970797058,o meu lugar é sorriso é paz e prazer o seu nome é doce dizer
1291079007790866432,a pessoa sofrendo por causa da intolerância à lactose e trazem bolo de tapioca com doce de leite pra minha sala sos
1291078996810178560,o meu lugar é sorriso é paz e prazer o seu nome é doce dizer madureira laaaa laiaa madureira laaa laiaaaaa
1291078993983217665,anthony samuel  designer gráfico  mano ele faz uns filtros pro insta que é sensacional trabalho impecável ele merece  sem contar que é um doce de pessoa
1291078872411373574,faz meia hora que eu to batendo esse negócio e não fica duro lembrando que eu estou tentando fazer um doce
1291078852857520129,qdo meu então ficante namorado foi em bh eu falei bem  pra ele me trazer doce de leite do mercado central e  fui tão enfática que ele ficou com medo de eu não querer ele mais se ele levasse o errado levou duas latonas kkkkkkk
1291078830493511680,kkkķkk uma piroca doce
1291078810679554048,falta do que fazer é
1291078786293825537,nossa eu tenho vontade de proteger o finn de todo mal  ele é tão doce
1291078744271183872,to doida p comer um doce
1291078741804879873,₍ ᐢᐢ ₎  ˓ pedıdo especial do dia › de dandan  › pαrα  ›   bem eu queria que você comesse muito mais além que um simples doce bom proveito meu bem
1291078734347411456,só queria uma rosquinha de erva doce
1291078718958579712,só queria um doce
1291078702709841920,mano eu de tpm eu só quero comer doce namoral mesmo
1291078679179808772,salgada ou doce
1291078676549971971,eu sou a pessoa mais trouxa do mundo pq vou ficar fazendo  e lavando louça hoje o dia todo sozinha fazer serviço de 5 pessoas eu odeio meu trabalho e não é pouco alguém me indica pra outro trampo pelo amor de deus
1291078673282609153,fiz um brownie de batata doce pqp ficou mt top
1291078666303221760,caraaaaa que vontade de comer doce socorro
1291078664352927744,queria ir na padaria comprar doce mas a preguiça
1291078642781626368,eu acho incrível como a expectativa de vida da população aumentou apesar do invento do açúcar refinado pelo tanto de doce q eu como já era p eu ter morrido de diabetes e doença hepática faz tempo
1291078637337403393,e achei tão estranho mas nem imaginei que fosse vc de novo
1291078586485616640,eu nervosa não sinto vontade de comer doce me dá vontade de comer pizza sanduíche salgadinho frito
1291078578340270080,fiz doce de leite
1291078544681050112,atualização   teresa já não irá ao extra uma vez que quando foi convidada não lhe disseram que seria um confronto entre grupos  pedro soá promete uma surpresa durante o extra  esta será a última emissão em que a pipoca mais doce estará presente
1291078528096768007,cheguei em casa e to comendo muito doce enfim a hipocrisia
1291078516776357889,e a minha mãe que está até agora sem olhar pra mim pq eu quebrei 2 negócio dela por doce eu quebrei ontem de manhã
1291078508383543314,primeiro dia da dieta ta indo até bem so quase morri de vontade de comer doce umas 10 vezes de cedo até agora
1291078497675423746,melhor lugar do mundo pra comprar doce de leite
1291078495276335105,af que honra ler algo assim vindo da fonte de água doce
1291078488972234753,to com tanta vontade de come doce
1291078485826576384,é tão bom ver missionários retornados falando o que eles aprenderam é muito doce
1291078470827749378,comer doce pra afogar as frustrações
1291078453664645120,que vontade de comer doccomer doce comer doce comer doce doc3 oeece comer doce vontade de comer doce comer doceeeeee
1291078445309612032,todo dia uma vontade de doce diferente em
1291078437524971520,vou ter fazer uma campanha para deus tirar minha fome toda hora to com fome toda hora quero doce aí que luta
1291078422572261376,to adiantando ja as coisa da minha festa a casa ta uma bagunça doce pra todo lado
1291078417664925696,gosta de perfume doce
1291078384274100224,hahahahaha gente eu nunca desci pra fumar sem fumar na verdade odeio fumaça de cigarro porém meu namorado fuma  porém sinto falta daquele cafezinho pós almoço que mata meu vr e que vem com um doce minúsculo
1291078362778214400,nível de nojentinhx açaí  azeitona  maionese  banana  margarina  pastel  pudim  fígado  pão de alho queijo  suco  chá  sopa  pepino  xuxu  mel  pizza  sardinha  ovo frito  café  leite  coco  doce de abóbora
1291078346659581954,fome de doce de leite ninho com uva e cabe à luiza fz pra mim
1291078344709230592,incrível como carlos as minhas vontades hahahah trouxe doce aqui no meu setor
1291078307816058883,eu não queria que meu niver fosse tema infantil só pra eu me acabar em doce porém não vai ter niver em né festa oooo deus
1291078286475440128,ami qual a panca desse  nao eh sei la um trem super doce
1291078276014841856,sentimento amor assimeu nunca sentipenso em vc o tempo tododos meus pensamentos vc não sainem na hora de dormiré tão engraçado mesmo quando estou destraida estou pensando em vcchego até sentir o teu cheiro o doce som da sua voz e o calor do teu abraçosinto o gosto
1291078253327912962,vou fzr uma pipoquinha doce
1291078244167495682,o problema de jogar amor doce aos 12 anos eh crescer e pensar que vc vai ter varios homens a sua disposiçao
1291078182712508421,isso de fato só tem sabor louco e diferente mas acho mttt doce por isso n acho melhor e o meu sorvete fav é meio salgado entao assim hahahahahha
1291078167223054336,na índia quando o marido quer ter relação com a mulher ele dá um doce na boca delaaqui no brasil eles dão bebida alcoólica
1291078156280094731,coloca especiarias tipo noz moscada erva doce ou algo assim pra ver se te ajuda
1291078153046294528,quero comer alguma coisa doce  tô mandando msg pros ctts que eu tenho de doce  mas nenhuma me respondeu ainda
1291078116862038021,ganhei uma pizza doce de cone
1291078110130188288,eu de você comprava um doce meu
1291078102949539840,é gostoso mn com farofa fica mt bom a maioria não gosta porque nunca provou mas o contraste de coisa salgada com doce é mt bom
1291078081281744897,pelo menos matei meu desejo de doce
1291078071894802432,gabi sabino postou um doce e eu tô babandooooo
1291078065053995009,no dia de hoje eu vou falar bastante sobre comida ai como eu queria uns doce da heleninha rabelo obrigado hyeguito por me recomendar essa beleza aff eu quero xx
1291078052684980224,meu deus esse é o meu novo prato mais aleatório de todos caipirinha com pipoca doce
1291078013522714632,novenha dos doce
1291078009949171712,tô tistiii só um docin da doce presença pra me deixar feliz
1291078006321094656,eu li “ô fome docê q não passa” rsrs aplica mais pra minha situação atual
1291077997085302786,cara a atendente do boticário vei q amor fui comprar perfume e ela toda prestativa gosta de perfume feminino ou masculino doce amadeirado acho q tu vai gostar desse e desse mt fofa cara af
1291077996216975367,que vontade de ligar pedindo um doce mas sigo firme
1291077975203553285,minha opinião aprovado galero bom dmais gente massss tem um problema ele eh beeeem doce ent se vc não gosta de coisas muito doces recomendo vc tirar uma culher do açúcar ou duas sla não entendo de confeitaria desculpa buddy
1291077973701996544,você é única amor para com isso não poderia conhecer alguém melhor do que você achei que demonstrasse isso já você disse que não era insegura que eu não te deixava insegura enfim não te trocaria nunca te amo meu doce vou demonstrar mais então
1291077951052808195,comer pipoca doce e não lembrar da  é impossível
1291077939526799361,eu to me acabando em doce meu filho fica animadinho
1291077936645386241,beethoven chorando pq quer doce e ele sabe que não pode
1291077917942919168,como briga com menina doce daquela gente
1291077906232487938,no achei um air doce lindo mas não tem meu número
1291077902587625472,essa história foi ótima pra  com meu café da tarde sem doce
1291077897357332482,minha sina é amar fazer doce e amar comer doce eu posso seguir a mais regrada das dietas mas não me põe uma receita de doce no instagram que já to sonhando com ela
1291077851303817249,os cara se amarra nos doce da flora
1291077851270324224,amo doce mas esses ai eu n como é nunca
1291077824804278273,sabe alguma receita pica de doce pra fazer em casa — pica de doce nunca fiz
1291077819355795458,realidade continuo com vontade de comer doce
1291077815950086146,até o ceará é bi e tu aí fazendo cu doce
