Id,Message,Labels
1291048686009626624,caraí  verdim,O O 
1291045408316313601,vade verdim,O O 
1290991509446234113,só pq não bebo e chego mal em todas as festas da família dizem q uso o tal cigarro du verdim kkkkkkk,O O O O O O O O O O O O O O O O O O B-Drug O B-Drug O 
1290899781540286467,kjjkjkjjkkj engraçado demais achar um verdim que você não lembrava ter sem intenção alguma,O O O O O B-Drug O O O O O O O O 
1290877766389370880,pprt amg kkkkkkkk vem de verdim,O O O O O B-Drug 
1290877648604934144,meu verdim ta fzd falta kkk to dormindo tarde direto,O B-Drug O O O O O O O O 
1290780799059492869,n sei se vai ser bom pra gente todo dia quando acabar a caminha ir em verdim comprar lanche kkk n vai adiantar muito eu ir caminhar e fazer isso kk vamo rever esses negócio,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290777366915096577,sou viciado num verdim,O O O B-Drug 
1290774660578193410,estudo e  buscando a melhora,O O O O O 
1290748666303647746,ma yoxtur ija  al verdim,O O O O O 
1290722603146063872,az once 1 paket ruffles 1 paket sigara 4 efes malta 6677 lira verdim,O O O O O O O O O O O O O O 
1290703895178567681,vo ter q pintar umas blusas e uns negocio c o ghost verdim e a marca do ciggy pq eh fofo demais caras,O O O O O O O O O O O O O O O O O O O O O O O 
1290694318047604738,mora em sp tenho o verdim  kkkkkk,O O O O O B-Drug O 
1290661692771311618,sdds verdim perfeito,O B-Drug O 
1290612766924054528,tô de marola fumano meu verdim,O O O B-Drug_Related O B-Drug 
1290501810575290369,mano que foda louca foi essa kkkkk  o bagui fica doido quando se fumar um verdim,O O O O O O O O O O O O O B-Drug_Related O B-Drug 
1290372554390228992,tek 1 falso verdim,O O O O 
1290367191423033344,ona 20 lira para verdim,O O O O O 
1290333041794207744,lança um verdim nas pontas ou nas mechas fica chic dms ainda mais q seu cabelo é clarin,O O O O O O O O O O O O O O O O O O 
1290289999913467905,já vou p outro planeta no meu pren verdim nesse ai é teto preto,O O O O O O O O B-Drug O O O O O 
1290099703690850304,esse verdim ta de lá taaa,O B-Drug O O O O 
1290075551135219712,pizza flango com catupily esfiha nunca comi  bolo creme c morango sopa flango pastel flango com catupily empada frango molho aquele verdim torta de limão sorvete doce de leit suco acerola   chá,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1289946214385950728,mataraya verdim sjjzzjj,O O O 
1289945701183557633,marolano um verdim de qualidade kk,O O O O O O 
1289944705212379138,pagode  cerveja  verdim,O O O 
1289921475235835904,corouna mas n e verdim,O O O O O 
1289807890295984134,preciso f1 verdim,O O O 
1289780750418472960,vamo ver akele filme trouxe akele verdim,O O O O O O O 
1289762204338622466,afim de um verdim viu pra desestressar,O O O O O O O 
1289732125793583106,sé loko o russo curtia uma branca o tim era puro verdim prefiro o tim,O O O O O O O O O O O O O O O 
1289694778049703936,quem tem o verdim,O O O O 
1289679306583445507,para um primeiro cultivo estou me saindo bem hehehe,O O O O O O O O O 
1289668148031918080,puahahhauaha nabim para verdim ona,O O O O O 
1289634890619609090,o verdim se preparando pra tirar todo meu estresse confusões e me deixar 1000 relaxada pra continuar o dia,O O O O O O O O O O O O O O O O O O O 
1289621719209005061,viral verdim,O O 
1289560828212056064,van gogh só amou o amarelo pq nao conheceu os verdim,O O O O O O O O O O O 
1289540275619213319,estou parecendo minha amiga gabi com vontade de almoçar 0935 da manhã kkkkkkkk putz já vou pedir a marmita no ifood kkkk verdim é foda,O O O O O O O O O O O O O O O O O O O O O O O O O 
1289409794810372096,verdim de 5 conto foi reabastecido,O O O O O O 
1289328182210908160,para da verdim,O O O 
