Id,Message
1290812770921918467,um finex pra ficar relex
1290542601268080641,estava vendo nas minhas coisas e achei um pedaço de folha que usamos pra debochar do finex da bff dele
1290489233698783232,irmão do céu os pós aula era o braaabo todo dia eu e o jonatas tinha que carbura um finex no ponto kkkkk
1290362408976949251,era só um finex que eu precisava
1290187291999133697,vo te que bola um finex vo da um talento
1289826234998784000,o finex e só pra o final do dia
1289819290225451008,ainda no item 7 importante frisar que os  do bndes à exportação das empresas brasileiras não seguem critérios ideológicos essas operações são realizadas desde 1998 pelo bndes e desde os anos 70 por meio de outros programas do governo como o proex e o finex
1289384105277235201,durante 3 anos vou andar finex direitex pelo menos nos dias que levar bot xddd
1288855793278779392,um finex do
1288762941517561857,esse ano não foi finex foi rebuçado fr
1288610535613894656,beber um finex fumar um cigarrex e estás nova amiga
1288487253896040448,volume da finex batendo o da coinbase galera do tether animada
1288437050241359872,este finex durou de crl
1288421378929065984,quase nunca tou a fumar finex  isso pra mim nao entra nem q seja hydro
1287951482353078274,quem salva no finex
1287901673055297536,a playlist do irmão do bruno é finex
