Id,Message,Labels
1291075058824355842,eu quando passo na frente da faama a vontade de jogar uma bomba é grande,O O O O O O O O O O O O O O O 
1291075055326306305,8° ditadura do stf 9° inquérito ilegal imoral e  de moraes 10° denúncia de allan dos santos 11° bomba e ogivas contra o brasil isso não é teoria da conspiração são fatos,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291075025735430149,pqp vai dar views na bomba que tuas favs lançou jaburu,O O O O O O O O O O O 
1291075023420248064,sim e não se for pra ter eles aqui a base de briga tiro porrada e bomba eu prefiro que eles estejam bem longe,O O O O O O O O O O O O O O O O O O O O O O O O 
1291075012624031744,bomba,O 
1291075004445200384,tive um e e virou uma bomba de chulé,O O O O O O O O O 
1291074959629049862,essa bomba eh boa,O O O O 
1291074943300579330,entupi a bomba do meu terere aff,O O O O O O O 
1291074939056017413,não quer  ele falou que no brasil só joga no são paulo kkkkk parabéns pela bomba,O O O O O O O O O O O O O O O O 
1291074695836696576,simmm eles deram tanta repercussão qnd saiu a bomba e agr nd,O O O O O O O O O O O O 
1291074683786407937,vocês nem sabem a bomba que eu descobri do guilherme né  kkkkkkkkkk,O O O O O O O O O O O O 
1291074561702862849,acabei de responder um questionário com coisa de literatura pra uma empresa sabe que bomba,O O O O O O O O O O O O O O O 
1291074523601817600,corona ajudando n lança essa bomba da 4 temporada,O O O O O O O O O 
1291074517993951232,descobri pq meu olho esquerdo n para d tremer sou uma bomba relógio,O O O O O O O O O O O O O 
1291074436771254273,a bomba vai ser aqui dentro de casa isso siim,O O O O O O O O O O 
1291074419784327169,deixa de ser demagógico de todas as formas o vírus já rodava o brasil antes do anunciado 1 caso todos lamentamos as mortes porém fica jogando a bomba no colo de pessoas é patético é feio fica lacrando na redeainda mais quem pensa em ser presidente,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291074351132020736,moh em respeito ao que aconteceu lá no líbano com os foguetes de artificio nós decidimos tirar o emoji de bomba dos nomes será que você poderia retirar,O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291074338939174913,bomba,O 
1291074256705654786,joshh eu n estava pronta pra essa bomba,O O O O O O O O 
1291074247381655553,la vem bomba,O O O 
1291074162207920137,uma bomba kk,O O O 
1291074155824271360,nao me xinga de android fa android  bomba,O O O O O O O O 
1291074131715399680,bomba transfer,O O 
1291074121548419072,vai jogar a bomba em rute,O O O O O O 
