Id,Message,Labels
1308766437490790400,meu amor chegou meu deus minja vida ta linro meu bek meu nenem o jungkool,O O O O O O O O O O O O O O O 
1308758318266150913,amor,O 
1308750059408941057,amo quando falam “só faço isso pq é pra vc” kkkkkk,O O O O O O O O O O O 
1308614670933200897,meu deus nunca imaginei ler isso de vc a parte do bek ok mas naruto,O O O O O O O O O O O B-Drug O O O 
1308601115353788417,sua foto de capa é ridícula e como sempre o maconheiro de play tem que tirar foto com bek na boca deplorável,O O O O O O O O O O O O O O O O O O B-Drug O O O 
1308600988488609795,minha vida é fuma um bek e vê o tempo passar,O O O B-Drug_Related O B-drug O O O O O 
1308578241800744960,eu vi o victor   vc n vai gostar disso mas eu fiquei mt feliz então sei lá só não me xinga keudeus eu to bek e feliz  nao fica bravo cmg amg keudeus,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1308575396397543426,volta pro fogão ataque tu kalou e babi bek,O O O O O O O O O 
1308568742620729346,bek do céu eu apaguei tudo e só tenho 2gb livres,O O O O O O O O O O O 
1308558408317120514,perfeita,O 
1308552641589522432,fique feliz cheire um pó fume um bek beije algum anão,O O O O O B-Drug_Related O B-Drug O O O 
1308551788824612870,vc é meu bek de knk cm hax,O O O B-Drug O B-Drug O B-Drug 
1308534047845552130,veshe sentar é problema é  esses dias fui pegar um bék no cemiterio o mano que tava no corre éra conhecido sentei lá pa f1 com ele mas foi sem maldade e ainda ele disse q dava nada,O O O O O O O O O O B-Drug O O O O O O O O O O O O O B-Drug O O O O O O O O O O O O O 
1308527540252954632,ei mano copia mas não faz igual,O O O O O O O 
1308526900088840195,mds ganhei 30 seguidores com essa muie do peixe,O O O O O O O O O 
1308524639421968389,vitor hoje conversei com ela por duas horas foi ótimo serio eu to me sentindo muito bek sabe,O O O O O O O O O O O O O O O O O O 
1308515783778205696,velho como puderam falar isso bek no niver da kara bem no dia q era pra ser feliz   ajuda ai cara,O O O O O O O O O O O O O O O O O O O O O 
1308508387462852613,tô chapado o dia todo só com um bek ce tá doido,O O O O O O O O B-Drug O O O 
1308504055900262402,meu pé é bek xeroso ok,O O O O O O 
1308501670553419780,scrr gente minha dm do insta ta uma,O O O O O O O O 
1308496695571951617,caras o theo me desenho fico tao lindo fico maus bonito do q ru so e olha q eu so bek kais ou menos meu deus eu to,O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1308488722971865088,esse friozinho tá pedindo uma  sorte de quem tem  fumando vários bek som no último volume escutando felipe ret,O O O O O O O O O B-Drug_Related O B-Drug O O O O O O O 
1308482025427554305,old q o mid,O O O O 
1308481841956040711,isso pode ser usado para tantas coisas meu pai kkkkkkkkkk,O O O O O O O O O O 
1308477443334959111,n enchwrgyei mt bek os cantores ali do lado mas vc eh perfeita vei n gem um defeito,O O O O O O O O O O O O O O O O O O 
1308472242075054081,pqp isso nunca foi tão real ksksksksks rindo de desespero,O O O O O O O O O O 
1308464560777682944,tu pode ser o pika da galáxia vacila uma vez pra tu ver boneca tu se transforma na pomba do vei q não sobe mais,O O O O O O O O O O O O O O O O O O O O O O O O O 
1308463882290290691,krlh ta rolando uma promo de blusa de bandas q só muito fã tenho money tenho porém é foda,O O O O O O O O O O O O O O O O O O O 
1308454981054410755,to me sentindo mt pressionada pq só tenho mais um bek,O O O O O O O O O O B-Drug 
1308439030229618691,só foi eu privar meu insta dnv que começou aparecer um monte de fake pedindo pra me seguir,O O O O O O O O O O O O O O O O O O 
1308425994697666562,com esse tempo só bek e delicinha,O O O O B-Drug O O 
1308424650838495234,eu vou beber cloro a yeojin me  eu nao to bek eu to tremendo,O O O O O O O O O O O O O O 
1308403102211547136,se meus bebes paulistanos estão bem eu estou bek,O O O O O O O O O 
1308399426994679809,ainxda bek q nao foi y sonhofc estao reinando e o meu ta indo a os poucos hrheheh,O O O O O O O O O O O O O O O O O O 
1308388170132844544,pprt hj era só um vinho uns bek e um bom pp,O O O O O O O B-Drug O O O O 
1308386823551569923,um tempo desses só com a gata é um bek junto,O O O O O O O O O B-Drug O 
1308374268107993088,senhor  nunca te pedi nada minha novela pf,O O O O O O O O 
1308371907964743683,affer yuririnho menti ta bek  mas é o ty então ficou bonitinho né,O O O O O O O O O O O O O 
1308328796282654720,porra dez minutos nao to bem não to bek,O O O O O O O O O 
1308249791995019264,total de zero,O O O 
1308249540802342912,acredito q na música do gêmeos deve ta escrito do lado melhor signo,O O O O O O O O O O O O O 
1308248986000723968,estudei uma hora de teoria musical e ja sinto o pode bb king em minhas mãos kkkkkkk,O O O O O O O O O O O O O O O O O 
1308241581711994882,namore alguém q te olhe como uzi olha p bek,O O O O O O O O O O 
1308225771002101761,era só esse abs,O O O O 
1308221679936643073,pau no seu cu e bek na minha mente,O O O O O O O O O 
1308219183667310597,incrível como a annalu melhora meu dia só com um sorriso,O O O O O O O O O O O 
1308215074620878848,fumando um bek ao som da chuva e lamentando minha existência,B-Drug_Related O B-Drug O O O O O O O O 
1308213236559491072,só faltou um bek agr,O O O B-Drug O 
1308211469209800705,pega a seda pega o bek so n mexe na minha gaveta,O O O O O O O O O O O O 
1308204233909579777,você bek,O O 
1308185152183558146,nao que qntes n estivesse td bek ne,O O O O O O O O 
1308167555182399496,barulhin gostoso p ascender o bek e ficar com a gata de baixo do edredom,O O O B-Drug_Related O B-Drug O O O O O O O O O 
1308146051673722880,segunda feira 2109 2010 passear com o cachorro 2045 janta baiao torresmo 2103 show da fe 2138 5 minutos de porno 2143 ouvi flashi bek 2230 rezar e dormir mais um dia de um cidadao honesto que paga as contase nunca botou fogo no pantanal,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1308138287345827841,primeiro bek oficialmente no quarto novo gratiluz kkkkk,O B-Drug O O O O O O 
1308127681469468672,não aguento mais as fofoqueiras da família do meu pai falando namoro no começo é bom demais aproveita,O O O O O O O O O O O O O O O O O O 
1308123286069489666,te amo te amo te amo,O O O O O O 
1308094347095703554,vc falou que pdiiea falar dai nek respondeu dps mas tido bek djwndjwnjd,O O O O O O O O O O O O O 
1308078116783390721,perdi a hr de td por causa dessa porra,O O O O O O O O O 
1308076478945525760,que benção essa chuvinha,O O O O 
1308074776569708544,amg ele é doente não liga ta,O O O O O O O 
1308073981115850759,a beleza aq é filtro mo,O O O O O O 
1308066507180707841,ela naquela fic trágica bek assim,O O O O O O 
1308064755517718528,climinha bao pa fuma 19 bek c ela,O O O B-Drug_Related B-Quant B-Drug O O 
1308061164455235584,esse pré treino que eu ganhei não bate ele espanca,O O O O O O O O O O 
1308061130997354497,sexta eu tentando faze atv chapada de bek  eu quase desisti porém consegui,O O O O O O O O O O O O O 
