Id,Message,Labels
1291065978382626817,oie vida,O O 
1291064889281323008,só faltou o gabriel na mansão né,O O O O O O O 
1291064252783108096,eu amo o gabriel e é isto,O O O O O O O 
1291063521132924928,o meu bak é com a o seu é com 4,O O O O O O O O O O O 
1291063514828812288,eu tbm amo ele,O O O O 
1291062544547930115,faltou o,O O 
1291061347917213697,bak posto um vídeo do booyah da copa nobru e mds kkkk os cara zoa muito em call,O O O O O O O O O O O O O O O O O O 
1291059890035789826,multirao p subir a  interação do fandom 1 um fc do vic 2 um fc da babi 3 um fc do arthur 4 um fc do mob 5um fc da mii 6 um fc do samuel 7 um fc da voltan 8 um fc da loud toda 9 um fc de shipp 10 fc do bak respondam com a,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291059798163759104,bora bak querido falta vc,O O O O O 
1291059358852423680,kkkkkkk perdi tudo,O O O 
1291058327376584707,decidindo aki se volto ou não com o fc do bak no insta,O O O O O O O O O O O O O 
1291057433620754433,é difícil essa vida do gabriel entendo ele também sofro com isso,O O O O O O O O O O O O 
1291057099959603200,acho q o cargo agora vai ser do mob ou do bak,O O O O O O O O O O O O 
1291053605294923778,é roubado dms kkkkkk ontem o thur achou que tinha ganhado o roud aí o bak foi e reviveu kkkkkkkkm foi muito engraçado mano pprt,O O O O O O O O O O O O O O O O O O O O O O O O O 
1291053221864247297,a irmãzinha do bak curtiu meu comentário e eu to surtando aqui fofinha dms,O O O O O O O O O O O O O O 
1291052389986902017,a real é que só tenho a nimo por causa das lives do bak e só,O O O O O O O O O O O O O O O O 
1291052118682501121,eu nem entrei no ff depois da atualização  eu só sei que o bak usa muito bem,O O O O O O O O O O O O O O O O O 
1291051734576570371,oi  aparece na mansão tbm e eu digo se esperava ou n,O O O O O O O O O O O O 
1291050307665956865,o victor saindo da call depois que o bak entrou pra brincadeira da explanação kkkkkkkkkk bundão,O O O O O O O O O O O O O O O O 
1291049635361034241,bak tá focado,O O O 
1291049179897266176,e eu que sonhei que o bak e o since faziam uma live juntos,O O O O O O O O O O O O O O 
1291042474991980555,essa menina eh mt fofa nao dá ela vai ser o bak quando crescer sim,O O O O O O O O O O O O O O O 
1291041295079804928,acha que não ia ser bom o whisky morando com o bak na mesma mansão os cara são amigao,O O O O O O O O O O O O O O O O O O O 
1291039854147653634,att chorei muito bak sej nem se ainda tenho lagrimas pensando aqui,O O O O O O O O O O O O 
1291037995680837633,queria um bak no rpg do insta p eu namorar,O O O O O O O O O O 
1291035708665278464,to ouvindo seu choro daqui  e eu tbm to chorando,O O O O O O O O O O 
1291034018167820288,nobru cerol bak el gato e muitos outros também ficavam e ficam o dia todo jogando ganham muito mais do que quem quebra a cabeça fazendo 5 anos de faculdade ai não estou julgando só estou dizendo que ganha a vida quem corre atrás n importa como o joguinho muda vidas,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291033735077531649,obgd,O 
1291033720296701954,só queria que o bakzin fosse pra mansão também é pedir muito,O O O O O O O O O O O O 
1291033541141319680,poderia ir pra sp tbm né a gente iria adorar,O O O O O O O O O O 
1291030398538067969,o problema é que ele é a call do bak eu sou só o gelo do elton,O O O O O O O O O O O O O O O O O 
1291029634327420934,eu sou muito cadelinha do bak vsf,O O O O O O O 
1291029612638724098,ajussime bak fosil,O O O 
1291029595840483328,que a laude faça boyah e vire vídeo no canal do bak,O O O O O O O O O O O O 
1291029449899638785,esperando o bak ganhar mais uma nfa pra trocar de nick e pôr b4 ruivaxis7,O O O O O O O O O O O O O O O 
1291025106018476033,eu só queria o bak na mansão p ele o coringa o mob e o crusher tirar uma foto pra relembrar os velhos tempos,O O O O O O O O O O O O O O O O O O O O O O O O 
1291023591413342211,pelo amor de deus  se vocês forem gravar algum vídeo polêmico incorpora o bak que ha dentro de si e manda só pedrada por favor,O O O O O O O O O O O O O O O O O O O O O O O O O 
1291023202689392640,se tem vai bak tem show,O O O O O O 
1291021746737471491,bak jordan thur e lzinn é obrigação de vcs irem também por favor,O O O O O O O O O O O O O 
1291020390765035521,sempre esqueço que o bak ta fugindo do m4zz4f3r4,O O O O O O O O O 
1291020379574632451,ele carrega e o bak carrega os 6 titulos da nfa kkk,O O O O O O O O O O O O 
1291015834060689410,estão criando a sala errado,O O O O O 
1291015562907267078,li vê bihаrê dilo hаwаr li vê bihаrê,O O O O O O O O 
1291014078605950981,esse vídeo q o bak postou agr mt bommm os caras são muito calmo pqp,O O O O O O O O O O O O O O O 
1291013922624069632,sou tão apaixonada que até com eles eu sonhei kkkkkkk bak e bradock,O O O O O O O O O O O O O 
1291011929000026114,bom descanso meu amor,O O O O 
1291010094939938816,so valta do bak agora amoooo,O O O O O O 
1290999224549744643,foi a mais foda ri muito façam mais como essas,O O O O O O O O O O 
1290995523600736256,hoje é dia de campeonato bak e quem se enfrenta são os grupos b e d quem tá animado,O O O O O O O O O O O O O O O O O O O 
1290987709360672768,5 da manhã eu tava como joguei 3 partida de cs e assisti a live do bak,O O O O O O O O O O O O O O O O O 
