Id,Message
1291029091311915009,fumos em armação d pêra
1291028907202936834,pois eu decidín seguir a outro rapaz da orga e fixemos o seguinte fumos apartando a xente facendo un círculo deixando aos chavales que se estaban zurrando no medio a xente agolpábase ao redor pa mirar o colega comezou a dar palmas e a berrar zóscalle aí me cago en dios
1290826913817165829,deixei essa porra la no fumos ainda
1290791576768335873,em minha defesa o namoro começou antes e a tabacaria veio depois kkkkkk mas aiai trabalhar com fumos  fumar perto de mim
1290780017136291840,álcool e os fumos são atenuante
1290755223795970051,processo de rithely é um conjunto de fumos como diria o famoso queiroz é do tamanho de um cometa surreal o que fizeram com o sport
1290748840598024192,as bocas de fumos agradece  stf virou uma facção criminosa
1290735340328820736,não odeio fumos
1290734453313228801,só fumos nas 48 horas passadas
1290720796382564356,e que a explosão está gerando grandes quantidade de fumos tóxicos que estão se espalhando o que é péssimo por si só mas pior ainda se aliar isso com a pandemia de covid19
1290679078526357506,não sou expert nas cores dos fumos mas a segunda explosão parece ter sido muito mais forte em aparato do que realmente foi falase de um quimico ou gás qualquer o predio acho que ficou de pé
1290669038574669825,porem um dos meus fumos é pra usar na hora de transar quem me dera ter um romance e poder usar
1290668755287265281,os meus fumos chegaram hoje
1290665277521264642,não há fumos mas há bebida por tanto é mm isso
1290664985027280897,bue mm  anda um gajo a ver de fumos pa elas o perderem assim não dá
1290606324292751361,e começarem a produzir bandeiras lgbt com quimicos que quando incinerados libertam fumos extremamente toxicos para matar quem as queimasse just a thought
1290596635240730624,aposto que é por causa dos fumos da fábrica que está do outro lado do rio
1290528020260950017,que delícia essa casa e esse povo iluminado insights bruxaria mulheres ciclos fumos consagração cachoeira fogueira música acampamento no quintal aaaaaaah amo vocês
1290525506450923520,não é a  que conta mas a  de todos os modos poderem coexistir em especial aqueles modos q não congestionam uma cidade e a enchem de fumos de escape mas se o tráfego é o q te preocupa então estarás comigo qdo digo q devemos tirar as 2 linhas de
1290502363191611393,artista sem criatividade é foda sei nem se a palavra artista se enquadra quando me cito a você mas pode copiar ai que o consta mesmo é um trampo bem feito se quiser te passo os modelos dos meus nike e meus fumos e bebes também aí é foda
1290439505200242689,a falta que faz um fumos digesfifo pós uma tonelada de cuzcuz ohhhh san miami me salve
