Id,Message,Labels
1291087156736413696,fui terminar de ler blinding lights e queria mto entender qual a da mina que fica comentando parecendo uma tiazona e dando em cima do namorado da pam,O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291086985738715137,ele já viu amigooo,O O O O 
1291086774035513345,quem é pam,O O O 
1291086601284718599,perde a chance de fica calada,O O O O O O 
1291086591931424769,a pam ta estressada então não foi bom,O O O O O O O O 
1291086368811233282,realmente to feliz que os sprints da pam hj vao começar as 20h kkkkk as 2130 nao conseguia nem terminar o primeiro sprint durmo mt cedo sim,O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291086092280700929,eu perguntando pra todo mundo na secretaria,O O O O O O O 
1291085491543171077,tomara que eu vire mesmo a mulher que mais amo a pam,O O O O O O O O O O O O 
1291085393593602049,tava com fome desculpa,O O O O 
1291085181818986501,roi jantou cedo hj né,O O O O O 
1291085154346295296,sem generalizar zuaram o acidente da chape zuaram a morte da salomé zuaram a morte da renatinha zuaram o acidente do henrique atos racistas durante um jogo gritos homofóbicos durante um jogo mascote sendo machista querem pagar de moralistas agora enfim a hipocrisia,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291084793837494273,musa diva arrasou,O O O 
1291084528551964672,meu deus tudo,O O O 
1291084467004747777,cá estou eu chorando com o ep q mostra toda a evolução do jimmy e da pam,O O O O O O O O O O O O O O O O O 
1291084412705267712,putz  jantando na hora do café da tarde,O O O O O O O O 
1291084400130772994,58 1548 pam faz o seguinte vou apagar a conversa aqui aí tu me manda mensagem falando que vai pra lá aí eu peço minha mãe 58 1549 monick falso ta kkkkkkkk 58 1550 pam pode mandar kkkkkkkkkk amigas servem pra isso,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291084376025882626,nossa eu tento desviar toda hora desses pensamentos mas o nossa vc é uma fracassada sempre ganha,O O O O O O O O O O O O O O O O O 
1291084247416086528,alô mãe to famosa,O O O O 
1291084201698177024,se conseguir manda no grupo pam,O O O O O O 
1291084196547629058,que jantada,O O 
1291084107963944960,sou ótima fazendo bolo feio e gostoso,O O O O O O O 
1291084089345413120,aqueles produtinhos que amamos da     segue aí no insta pamvy,O O O O O O O O O O 
1291084071800627200,aula síncrona as 19 hrs e eu desde manhã passando mal só de pensar na  de ter q ligar o microfone e falar deus pq me fizestes tão,O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291083973775499265,oq a pam ficar eu chipp serio kkkk,O O O O O O O O 
1291083968872415233,por você até o sharingan desperta por amor,O O O O O O O O 
1291083787531476992,linda gostosa maravilhosa te amo,O O O O O 
1291082767875416064,hj vai,O O 
1291082752201240578,hoje faz 1 semana em que a pam se foi e isso ainda me deixa baqueada,O O O O O O O O O O O O O O O O 
1291082665190449153,oi amor,O O 
1291082626812579842,oi amor,O O 
1291082570894106625,queria malhar meter um shape pam birl derrubar arvore é o carai n é água c musculo e tal,O O O O O O O O O O O O O O O O O O O 
1291082570860580864,a solidão sabe,O O O 
1291082545015263232,oi bb vem sempre aqui,O O O O O 
1291082449779404803,oi lindo,O O 
1291082373505978368,lindas,O 
1291082253754400769,visshhhh cê que não me viu puta ainda kkkkkkkkkk,O O O O O O O O O 
1291082175698423810,aham,O 
1291082111047421952,pode ser qualquer destilado,O O O O 
1291082088096161793,eu não tô brava não doida kkkkkkkkk tô só zoando com vc,O O O O O O O O O O O O 
1291082051353968641,já floresceu aqui ipês ufopianos,O O O O O 
1291081988024270848,amiga vc tá puta e eu to aqui conversando de boa pra que tanto ódio se poupe kkkkkkkkkkk to dizendo que apareci lá mas foi brincadeira ce que tá brava aí kkkkkkk,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291081895267258369,pam aparece mais aqui pra gente fazer aqueles joguinhos com músicas e tals,O O O O O O O O O O O O O 
1291081852149735437,meu deus tadinho do jim pam pfv da uma chance namoral,O O O O O O O O O O O 
1291081837884968961,nao espero ter ajudado,O O O O 
1291081777029820417,marca ele no meu post então,O O O O O O 
1291081762030923777,muito boa pam,O O O 
1291081750911815680,amiga o que que tem a ver,O O O O O O O 
1291081727117529094,amém pam,O O 
1291081678908203008,fazer o que né te apoio,O O O O O O 
1291081427203829765,kkkkkkkkkkk tomar no cu não é o mesmo que falam aqui afinal o perfil jantadasfut me segue,O O O O O O O O O O O O O O O O O 
1291081281997099008,jantar a laura lage nunca é demais para um cruzeirense se acostume,O O O O O O O O O O O O 
1291081097971982336,isso é vdd já recebi a mesma jantada 60 vezes,O O O O O O O O O O 
1291080978794975237,e a pam que me mandou coxinha do ragazzo que veio do habbibs  eu te amo,O O O O O O O O O O O O O O O O 
1291080957051764738,top comprei da anethuun depois vc da uma pesquisada p vc ver,O O O O O O O O O O O O 
1291080779007754240,kkkkkkkkkk tô acostumada já amor,O O O O O 
1291080733080125444,chitãozinho e xororó  40 anos entre amigos  via,O O O O O O O O 
1291080669108539392,todo mundo kibando a pamela uai  se eu fosse vc entrava com direitos autorais sem dó,O O O O O O O O O O O O O O O O 
1291080629774422016,agora que eu percebi que tem umas falas de the office na musica da billie eilish do nada eu ouço a voz do steve carell e da pam mds kkkkkkkkkkk,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291080574946484225,puta merda,O O 
1291080311208542220,bem solidário ele,O O O 
1291080085643186178,eu tinha um ódio,O O O O 
1291080011437539329,lindo maravilhoso te amo,O O O O 
1291079884605927426,tomara q esse funcione,O O O O 
1291079839924064256,quaaaaal vc comprou,O O O 
1291079822739939329,obrigada filha,O O 
1291079724974964737,eu quando saiu a nota de micro,O O O O O O O 
1291079668377038849,e o lucas na live falando pra pam não bater nele com o carro dela a fama de boa motorista da minha filha,O O O O O O O O O O O O O O O O O O O O O O O 
1291079307251548160,não dá pra acompanhar não,O O O O O 
1291078772339494912,chata feia boba,O O O 
1291078661442015234,que não seja eu amém,O O O O O 
1291078522694508544,corre aqui rapidão,O O O 
1291078391597338625,odeio atender o telefone aqui em casa quem atente é a minha mãe como ela não está 3 semanas sem atender,O O O O O O O O O O O O O O O O O O O O O 
1291078296625700866,o jim a pam e a cece combinando fantasia meu deus vou morrer de amores,O O O O O O O O O O O O O O O 
1291078137468649472,ai pam primeiro casamento q chorei vendo é tao lindo,O O O O O O O O O O 
1291078134347988993,a alegria do dia foi conversar com a pam gonçalves sobre a colleen hoover no grupo do telegram e descobrir que pensamos as mesmas coisas,O O O O O O O O O O O O O O O O O O O O O O O O O 
1291077993339723779,tá jatando muito cedo,O O O O 
1291077974859685895,tb amo você,O O O 
1291077824930078721,até mais fofa,O O O 
1291077766696370180,será que vai me notar algum dia,O O O O O O O 
1291077660270108672,blz amor bjo,O O O 
1291077163463127041,carai,O 
1291077158413246465,nunca nem vi essa pra falar do histórico de fracasso do seu time precisa copiar de ninguém vcs em si já são a piada 49 anos solidário no brasileiro,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291076991853232128,pam bimbo bloq¿,O O O 
1291076976774647812,ia falar ou jogo mas não eras jogar sozinha,O O O O O O O O O 
1291076974727790592,pam  todo mundo ama fanfiqueira viciada em celular não perde uma chance de encher o saco do povo do squad,O O O O O O O O O O O O O O O O O O O O 
1291076899230437381,com gosto maior rabao gostoso,O O O O O 
1291076572875718657,o q faço leio vejo filme vejo série arrumo a playlist ou durmo,O O O O O O O O O O O O O 
1291076418156277760,na cara naaaaaao,O O O 
1291076375357673472,na cara não po kkkkkkkk,O O O O O 
1291076330033950720,vc copiou da moça  ela já postou isso n se faça de sonso,O O O O O O O O O O O O O 
1291076266880380930,mais uma piriquita minhas amigas só botam mulher pra fora kkk só pam mesmo que saiu do trilho e trouxe nosso menino anthony,O O O O O O O O O O O O O O O O O O O O O O O 
1291075624937951233,solidário é o atlético que não ganha um brasileiro a 50 anos pra deixar pros outros,O O O O O O O O O O O O O O O O 
1291075482230951938,meu pai postou um textin pra mim e colocou uma música da ivete pq pasmem eu nasci no dia que ia ter show da ivete na minha cidade todo mundo arrumado e minha mãe em trabalho de parto kkkk estraga role,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291075456339501056,q rolo q ela fez pqp mkkkkkkkkk,O O O O O O O 
1291075412680900609,namora cmg pra eu tuitar isso pra vc,O O O O O O O O 
1291074492631056385,você é uma grande gostosa minha filha,O O O O O O O 
1291074474192916480,pam aqui,O O 
1291074166834290688,se você tiver que decidir entre o mundo ou o  se você escolher o mundo ficará sem o amor mas se escolher o amor com ele conquistará o mundo,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291073892510031879,gastei todo o dinheiro que eu tinha em doce tpm tóxica,O O O O O O O O O O O 
1291073787191078914,quem n te conhece q te compre aiaiai,O O O O O O O O 
1291073693800493056,qual vai ser a treta da x,O O O O O O O 
1291073606294867969,final de semana vou passar em sj,O O O O O O O 
1291073380372938753,menina gostosa,O O 
1291073289285140481,parabens pam tudo de bom pra ti linda,O O O O O O O O 
1291072954802016259,chorando pela primeira vez por um casal  jim e pam esse é o tweet,O O O O O O O O O O O O O O 
1291072861701111808,queria ter esse corpinho,O O O O 
1291072661188218882,felicidade de agosto meu curso ta acabando o maravilha,O O O O O O O O O 
1291072649435787264,eu tenho muito orgulho de você eu te amo,O O O O O O O O O 
1291072647082717185,meu último neurônio,O O O 
1291072611099848706,theo deve odiar ter o otávio como irmão kkkkk,O O O O O O O O O 
1291072548676014082,eu vou nos bife e meus prato nunca da por kgsempre livre,O O O O O O O O O O O O 
1291072449384263681,hoje eu começo uma nova fase na minha vida tô tão feliz,O O O O O O O O O O O O 
1291072389351186432,kkkkkkkkk socorro pam,O O O 
1291072379331006466,comi igual uma cavalo no almoço,O O O O O O 
1291072240344334336,vou ver a mika hoje to com a gab desde ontem pam vem pra cá find,O O O O O O O O O O O O O O O O 
1291072089408012288,oi pam,O O 
1291071593653964805,será q se eu arranjasse um jim eu seria a pam dessa pessoa,O O O O O O O O O O O O O 
1291071565753397248,casamento do jim e da pam foi perfeito morri de rir c a entrada na igreja aff amo,O O O O O O O O O O O O O O O O O O 
1291071391219949568,acho que meu exame de lactose deu negativo mas mesmo pesquisando e pedindo opinião de outras pessoas ainda to insegura se é isso mesmo,O O O O O O O O O O O O O O O O O O O O O O O O 
1291071198038757389,iala kkkkk sou sim tá,O O O O O 
1291071114450526211,olha guerreira viu kkkkk,O O O O 
1291071024805613568,pior que n errou tirei segurança,O O O O O O 
1291071011740360709,aí amg vc vê um tweet que hitou e puf nazaré amarga posta a mesma coisa como se fosse autoral o ódio,O O O O O O O O O O O O O O O O O O O O O O 
1291070966714503170,coisas q tu faria,O O O O 
1291070669422198784,por isso a gente se dá bem duas fudidas kkkkkk,O O O O O O O O O O 
1291070019682684928,a pam com o jim são um dos melhores casais que ja vi aksdfkasdfk a holly com o maicon tmb e perfeito demais,O O O O O O O O O O O O O O O O O O O O O O O 
1291069897330561026,sim kkkkkk o sofrimento da mulher que não desiste,O O O O O O O O O 
1291069631193636867,um vídeo nunca definiu tanto,O O O O O 
1291069176593948673,até a pam sabe kkkkkk,O O O O O 
1291068967629594624,talvez precisemos de uma análise literária além da tradução,O O O O O O O O O 
1291068834695258113,q ódio,O O 
1291068686732873731,é incrível como jeito que o jim ama a pam me faz chorar que nem uma condenada,O O O O O O O O O O O O O O O O O 
1291068671578734593,tenho que comprar uns produtinhos da boca rosa,O O O O O O O O 
1291068269370245128,obg mesmo amiga,O O O 
1291068132753321984,curte um pam curte um pá,O O O O O O 
1291068045763448835,to ouvindo exile aí acaba e começa a tocar back to december foda hein,O O O O O O O O O O O O O O 
1291068032031367174,joga y joga o menino,O O O O O 
1291067969154551809,carapuça serviu ne kkkkkkk mas não foi pra você,O O O O O O O O O 
1291067963970396166,o dia tem que ter 36 horas pra conseguir fazer tudo da faculdade de boa sem estresses,O O O O O O O O O O O O O O O O O 
1291067747791769603,recebi a indireta ok,O O O O 
1291067706633052160,preciso de umnotebook branco pra poder comprar e colar isso,O O O O O O O O O O 
1291067478341300226,cortei minhas unhas me sinto pelada,O O O O O O 
1291067255292342273,vc está fzd aniversário e vamos juntos comemorar em mais uma ano que passa que a beyoncé venha te iluminar uma musiquinha que minha avó canta para todos no aniversário mas com uma pequena modificação kkkkkk parabéns pãm tudo de bom para vc,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291067093274841089,nasci só pra criar e expectativas e me frustrar,O O O O O O O O O 
1291066935225065473,tomei o remédio tá me dando sono e tenho que olhar a minha irmã,O O O O O O O O O O O O O O 
1291066873635917829,parabéns pam,O O 
1291066545175699463,bom dia pam,O O O 
1291066456570986504,vai passar nos móveis isso aí pra ver o grude que vai ficar kkkkkkkkkk,O O O O O O O O O O O O O O 
1291065906416713728,a pam dormindo no ombro dele e ele falando q n foi um dia ruim sei la segundo episodio ja queria namoralo,O O O O O O O O O O O O O O O O O O O O O O 
1291065834794889216,falou tudo,O O 
1291065830646611971,nada meu amor qualquer coisa eu estou aqui eu sei que esta sendo difícil para você amiga,O O O O O O O O O O O O O O O O O 
1291064964812279809,eu pedindo conselhos para pam,O O O O O 
1291064579980775425,eu sou o hulk,O O O O 
1291064515824672769,tô carente demais hoje papo reto,O O O O O O 
1291064041419550721,tenho 112 contatos bloqueados do banco pam me ligando pra me oferecer empréstimo desde o começa da quarentena essa patifaria,O O O O O O O O O O O O O O O O O O O O 
1291064037590138881,quem sair de 2020 não vai ser a mesma pessoa que entrou impossível esse ano não ter mudado um pouquinho que seja o seu pensamento o jeito de lidar com outras pessoas e até mesmo sua,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
