Id,Message,Labels
1291086101499850754,era para salvar vidas a imprensa marron  em casa,O O O O O O O O O 
1291084356904202246,eu escutando marron 5 e do nada um socorrenos ó mãe,O O O O O O O O O O O 
1291083119290966017,eita porra bem que desconfiei que fogos de artifício nunca teria esse poder todo  aquela nuvem marron,O O O O O O O O O O O O O O O O O 
1291074632326492161,não acho medieval acho   basta lembrar da milícia alemã fardada de marron chamada de sa,O O O O O O O O O O O O O O O 
1291073872280854529,o quão parecido é nosso gosto musical 10 queen 10 dean martin 10 edith piaf 10 brunno mars 10 kiss 10 rolling stones 10 elton jonh 10 raça negra 10 mamonas assassinas 10 xande de pilares 10 johnny cash 10 beatles 10 frank sinatra 10 imagine dragons 10 marron 5,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291073669171732480,acho q boa parte da programação da tv  da tv globo após o fim das produções em pampb se percebe mto luxo mtas lantejoulas mto brilho cor algo que depois foi se acentuando com o passar dos anos imagina a abertura de dancin days em pb e de marron glacé,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291064697287049220,adaptação em provas para pessoas autistas,O O O O O O 
1291057340989485057,marrón kk,O O 
1291050258135490562,marron 5 bruno mars pela amor carai,O O O O O O O 
1291046312725684230,pintei meu cabelo com tinta loira e meu cabelo ficou marron,O O O O O O O O O O O 
1291040509369221123,esse marron é um pirado cara,O O O O O O 
1291039521019170819,senado tenta aliviar a barra da mídia marron,O O O O O O O O 
1291035906686816256,enquanto elas bóia na água marron as gata nada na água azul,O O O O O O O O O O O O 
1291017953291440129,claudio isto nao denigre em nada o gover  para o povo e ate um alivio  melhor militares do que deputados  e outros que atuaram nos governos anteriores que nos assaltaram nestas funçoes voce tera que jair engolindo  voces da midia marron perderam as eleiçoes deixe nos em paz,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291007965403717633,um dia desses escrevi fazes ao invés de fases,O O O O O O O O O 
1291007442608955393,eu escrevi aderência ao invés de adesão,O O O O O O O 
1291005869564600321,sim ontem eu mandei um vozez e nem dava pra colocar a culpa no corretor porque isso ele claramente corrigiria hahahahah fiquei olhando pra mensagem sem acreditar que tinha escrito isso,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1291002106015604738,bom dia qual marca por favor,O O O O O O 
1290995753012338693,meu português está claramente definhando durante a pandemia no entanto pra todos os efeitos a culpa é sempre do corretor,O O O O O O O O O O O O O O O O O O O O 
1290994217897152517,ahahahah com certeza,O O O 
1290993586368987137,sou do clube do seu filho,O O O O O O 
1290989577470128128,saudade da aglomeração né minha filha,O O O O O O 
1290980507530952704,durante a pandemia ando sonhando demais com o meus anos na escola e faculdade não exatamente as que frequentei mas o ambiente de sala de aula está frequente já vi mais pessoas falando que tb estão sonhando com isso doidera,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290966443996188673,a professora botando marron 5 do nada no começo da  chega,O O O O O O O O O O O 
1290963242840293377,o look de hoje apresenta a sutileza do contraste marron x brancos oferecendo naturalidade luminosidade e um tique de modernidade,O O O O O O O O O O O O O O O O O O O O 
1290959175305048066,non eu da xestión non falei  eu falo de que vai a unha media de marrón por mes e iso ten que queimar a dios sexas de esquerda dereita centro ou abaixo jajaja,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290956436634308608,marron kk,O O 
1290945637282992129,congrats to mr and mrs h marrón theyre so cute,O O O O O O O O O O 
1290907513739710465,marrón kk,O O 
1290860876128489473,ódio tive que ver aquele show engessado do marron cinco,O O O O O O O O O O 
1290856309454254080,a gente quer debater temas mais atuais e importantes para a sociedade mas volta e meia vem a imprensa marron com suas  sem sentido e fora de foco a folha de são paulo querendo discutir o que chama de golpe de 1964 não tem o que fazer não folha,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290850688558198784,falaram q foi por causa dos fogos de artifícios coloridos ai subiu a cor marron,O O O O O O O O O O O O O O O 
1290848617159364608,café o marrón oscuro,O O O O 
1290847499855507459,comida de mãe é a melhor coisa do mundo saudades aliás,O O O O O O O O O O O 
1290838459477831681,obrigada outro abraço,O O O 
1290837098229112833,um abraço  é muita pressão estresse e cansaço,O O O O O O O O 
1290836510988808192,ovo frito mas de um lado só detalhe pra gema escorrer,O O O O O O O O O O O 
1290836340054142976,delícia,O 
1290835614338777089,1 feijão carioca 2 arroz com brócolis 3 sobrecoxa de frango 4 farofa 5 salada,O O O O O O O O O O O O O O O 
1290827266797297670,varios sonhos num passaro marron,O O O O O 
1290822749691228160,marina não lembro ah marron glacê as 3 marias glória pires nádia não lembro e outra q tb não lembro,O O O O O O O O O O O O O O O O O O O O 
1290818424134828032,já a mãe dele é muito preguiçosa na hora de levantar,O O O O O O O O O O O 
1290817266305597440,eu tava pensando aqui eu não lembro uma única vez do meu filho reclamar na hora de acordar pra ir à escola ele detesta chegar atrasado então levanta logo e faz o que tem que fazer pra ficar pronto,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290812375445241856,vai se fude esse churros ai parece um poste marron do caralho,O O O O O O O O O O O O 
1290809702931103745,tá não é matéria do consórcio de notícias ou seja a mídia marron a mídia confiável na visão dos próprios,O O O O O O O O O O O O O O O O O O O O 
1290808735577919491,a really reallyyyyy dark brown pero rn esta marrón clarito with grown out roots,O O O O O O O O O O O O O O 
1290807744992350210,o início de um sonho  marron 5 novamente,O O O O O O O O 
1290792658613534724,animals  marron 5 não é assim nada de chocante mas quando eu soube o significado nunca mais a ouvi da mesma forma,O O O O O O O O O O O O O O O O O O O O O O 
1290787836510298116,marrón kk,O O 
1290787662736039937,passou o dia das mães e não pude ver minha mãe dar um abraço agora o dia dos pais sem encontrar com ele eu tô despedaçada por dentro inferno de pandemia inferno de governo inferno de país que não leva nada a sério,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290774241768611842,tem sim pais médicos e terapeutas,O O O O O O 
1290773892953505795,obrigada por escrever isso,O O O O 
1290773090851586056,é uma exigência da sociedade esclarecer a espionagem de 38 mil pessoas em 2010 a campanha do tal serra do bem fez um grande escândalo com o apoio da imprensa marron inventando que tinha tido os sigilos violados dele e da família,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290772240150208512,pq não vai ser show nem deve ser a lineup do dia  capaz q deve ser o dia do marron,O O O O O O O O O O O O O O O O O O O O 
1290771061747920896,nossa mas eu assustei demais agora fiquei até em choque,O O O O O O O O O O 
1290770890192564224,hahahaha bem vindo ao clube,O O O O O 
1290770883418742785,quer dizer pra vocês imprensa marron comunista que ele e racista supremacia branca,O O O O O O O O O O O O O 
1290770501045039106,pois é,O O 
1290769376384352258,sim lá eu consigo ver pelo menos um pouquinho de coerência pq tem uma comunidade judaica mto mto grande lá aqui não faz o menor sentido,O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290769275398086662,manda bala esses dias tomei sem querer leite vencido há 1 mes sobrevivi mas não,O O O O O O O O O O O O O O O 
1290769017578360832,e pelos eua,O O O 
1290763319721308162,amanhã estarei batendo um papo ao vivo com o marron black e desde já te convido a participar interagir com a gente e debater sobre a nossa cidade espero você,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290756143137075200,né hahahahaha,O O 
1290745158246465536,no meu último rock in rio quase desmaiei num show do marron 5 e no da loirinha vou sair direto p emergência quem amou  já vai malhando p me carregar,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290738832544014336,e eles estão se aproveitando horrores dessa burrice aí postando coisa aleatória de todos os cantores pop do mundo e vocês aí se fazendo de doido quando na realidade o line up sempre vai ser marron 5 e é isso,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290726394562043904,eu tenho um sobrinho que canta marron 5 pra mim e vcs,O O O O O O O O O O O O 
1290724295036067840,tão orgânica que vem com organismos,O O O O O O 
1290715123817107462,analisando as imagens e a informação do netanyahu sobre o esconderijo de mísseis no subsolo do porto as imagens confirmam tudo essa coluna marron de “fumaça” é terra pulverizada pela onda de choque da explosão  subterrânea,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290706158634897408,quão parecido é nosso gosto musical 10 rhianna 10 beyonce 10 pabllo vittar 10 oasis 10 queen 10 dua lipa 10 katy perry 10 megan the stalion 10 rosalia 10 sia 10 marron 5 10 ariana grande 10 taylor swift analisandoh,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290705319564386307,pv me negou um marron glacê,O O O O O O 
1290680693794668546,a gente tem que sempre estar preparado pros packs surpresas de insetos que vêm na alface orgânica,O O O O O O O O O O O O O O O O O 
1290675120546238464,marron você não me quer de verdade no fundo eu sou tua vaidade,O O O O O O O O O O O O O 
1290674214366785537,botas acerbis xteam camomarrón 45   precio 8654€  pvp ≈ 170€,O O O O O O O O O O 
1290666831984898048,do marron 5 o songs about jane ainda dá para engolir mas é um fato que a eles começaram num pop rock redondinho e depois viraram uma espécie de boy band de instrumentos,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290662987683057666,eu não sei já tentei ouvir a banda e uma outra música desce mas não entendo o hype em cima deles acho eles uma versão um pouco mais hypster do marron 5,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290660664739016705,trocando esse feijão marron pelo preto aí sim eu concordo,O O O O O O O O O O 
1290659111118483457,deu vontade de ouvir marron 5,O O O O O O 
1290657188583747587,marron e azul bb e dourado e branco,O O O O O O O O 
1290643776378208258,marron provocante você quis dizer né,O O O O O O 
1290642882555240450,que médico  e,O O O 
1290616420477345792,anal que vocês estão conhecendo agora é um dos tratamentos abjetos aplicados em autistas por pais e médicos criminosos em busca da cura,O O O O O O O O O O O O O O O O O O O O O O O 
1290583581383958528,bolboreta pedregosa lasiommata maera aberta ten rasgos alaranxados en troques a base das ás posteriores mantense de cor marrón os machos adoitan esperar pousados nas pedras a espera de que pase algunha femia voando como  sexa este o caso,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290489898441379841,se um dia eu me casar e o marron 5 não aparecer cantando sugar eu vo ficar bolada cara,O O O O O O O O O O O O O O O O O O O 
1290481540137279488,prefiro o 1d 1000 vezes meu gosto obg mas agr me diz qq um jogador de futebol tem a ver com uma banda os dois fazem coisas diferentes e ganham coisas diferentes uai compara sla o neymar com o messi e o 1d com o marron 5 sla vey coisas q tenham a ver mds,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1290477032447414278,tava marron intao no bagulho ne so instalo o sofitiuere ate os 80 kakakaka internet tontio,O O O O O O O O O O O O O O O O 
1290476121121853441,to vendo o  de meia e cobertor,O O O O O O O 
1290475772038115335,e li que aqui vai fazer 1615° de madrugada socorro,O O O O O O O O O O 
1290475592152842240,tá um frio da porra,O O O O O 
1290475480055980032,e caríssimo,O O 
1290475006888214529,texto de  de,O O O 
1290474161811357696,rio de janeiro me fazendo usar calça e meias pra dormir ai ai,O O O O O O O O O O O O O 
1290473242034044929,só trocaria o feijão marron pelo preto de resto é uma dádiva msm,O O O O O O O O O O O O O 
1290472819390898178,marron kk,O O 
1290462524438204418,eu imagino,O O 
1290462065677733897,e eu achando de boasenti umas fisgadinhas la pelo 20o andar mas continuei depois fiquei com dificuldade pra andar por uns 3,O O O O O O O O O O O O O O O O O O O O O O 
