Id,Message,Labels
1291077824833519618,e o cara que ligou aqui que chama braulindo braw lindo kkkkkkkkkk,O O O O O O O O O O O O 
1291076343648706560,quando essa atualizaxion do braw vai acontecer,O O O O O O O 
1291072652170362880,kd o braw,O O O 
1291070663877373952,meu amigo chális braw,O O O O 
1291063025173135365,sei que vc não curte braw stars mais olha que brawler linda,O O O O O O O O O O O O 
1291048959193092098,me denomino braw e estou fazendo callouts no fortnite com o objetivo de ajudar a comunidade no cenário competitivo e afins rtfav continuar o projeto,O O O O O O O O O O O O O O O O O O O O O O O O O 
1291047096070569985,pior erro do ser humano é fumar um braw pra arrumar a casa,O O O O O O B-Drug_Related O B-Drug O O O O 
1291038421377572874,sakve nery eu já deixei meu like  você merece tomo junto bora joga e braw stars,O O O O O O O O O O O O O O O O 
1291029613880250369,a gente fumou um braw e depois se pegamos minha nossa senhora meus nervos ficaram a flor da pele dopamina disse oiii,O O B-Drug_Related O B-Drug O O O O O O O O O O O O O O O O O 
1291002457468928000,td dia eu jogo quase duas horas de braw star com a  e olha é pro player ne gata,O O O O O O O O O O O O O O O O O O O 
1290996745422413825,simples perdendo 1 ano de vida jogando 2hrs de braw rsrs,O O O O O O O O O O O 
1290981050898944001,foi gente vou lá no braw stars completa e umas missões,O O O O O O O O O O O 
1290979223566528512,kkk e top mesmo vamos jogar amigo nery e eu vou te contar um segredo meu eu também sou um youtuber de braw stars,O O O O O O O O O O O O O O O O O O O O O O O O 
1290873621599182853,braw tá mal otimizado no primeiro contato já levei uma surra kkk mas vou tentar quando não tiver com sono,O O O O O O O O O O O O O O O O O O O O 
1290866594034352131,quem brota jogar braw,O O O O 
1290855135099453440,vc não sabe jogar braw,O O O O O 
1290851336779698176,a prova de que todo criminoso tem seu ponto fraco,O O O O O O O O O O 
1290851093627404289,essa doeu,O O 
1290842381500198917,so tu pra ri d uma coisa dessas,O O O O O O O O 
1290838761610326016,será que chorão do charle braw teve vergonha de explicar pra mãe dele o que ele fez com o ladrão,O O O O O O O O O O O O O O O O O O O O 
1290832230261153792,mas pq daria errado pq já temo td então heueheue,O O O O O O O O O O 
1290831888626704386,é ai que eu te falo,O O O O O O 
1290829304373313537,nossa comprei um braw na loja que tem 16 de thc que só serviu pra esquentar minha orelha braw dos brother tava melhor,O O O O O O O O O O O O O O O O O O O O O O O 
1290818730403008512,luisa entenda eu não sei bolar então qlqr braw pra mim eh lindo desde q dê p fuma,O O O O O B-Drug_Related O O O B-Drug O O O O O O O O 
1290808833313574912,foto de braw dia braw noite braw madrugada,O O O O O O O O 
1290807804849250312,trem que me grila é o cara pagar de rato com meu braw,O O O O O O O O O O O O O 
1290805137997520897,dichavou bolou é mais um braw bolado,B-Drug_Related O O O O B-Drug O 
1290758428282028032,se e quer jogar lá no braw cmg,O O O O O O O O 
1290756850393255938,eu poderias estar fumando um braw mas não estou aqui igual idiota sofrendo com ead,O O O B-Drug_Related O B-Drug O O O O O O O O O 
