Id,Message
1291039245126205440,nu só queria um mdzin do trinca
1291038163524345856,dono do tráfico kkkkkkk
1291034666565328896,o mc que é conhecido por ser meme nem é mc pra mim kk
1290724491333640193,hoje era so uma mdzin com as gata kkkkkkkk
1290719067851108352,depende da sua situação em casa se vc n quer q sua família ou seja la quem mora c vc tente interagir c vc trincado acho melhor o mdzin
1290718789785522178,é um mdzin e claro
1290716930127560704,caras qual eh mais safe pra dropa em casa mdzin ou lsd puro
1290331858782347264,o felicidade achei o mdzin q perdi
1290112850434768898,mdzin eh coisas leves dms q isso ontem sessionzada foi daquela forma
1290095209385254918,acho que eu nunca quis tanto tomar um mdzin com wiske
1290056229767671809,kkkkkkk se pá que exagerei no mdzin esse dia
1289946266500177926,hoje é dia de tomar um mdzin
1289798294382624769,os cara se amarra num mdzin né
1289760535634833408,eu e as menina  cedo md nunca  o povo hj mdzin ns dmsss uai
1289739594418786304,queria passa meu sábado com a maca e a zulema tomando um mdzin e matando uns tarados aiai tudibão
1289720804049948672,mdzin rolando to nem acreditando me belisca
1289697923203137536,bom eu n sei vcs mas hj eu vo toma 1 mdzin so p fica mec
1289679430558908416,mdzin pra aquecer a noite kkk
1289663668448190464,não tô dançando na sala ca breja na mão nessa live desejando um rolê com um mdzin na razão não ne
1289557044295421953,tô pensando numa bagaceira de leve mas com aquele mdzin
1289344459767873539,nomemdzin idade14   estadosp cidade comida fav arroz e feijão estilo musical rap filme fav velozes e furiosos série fav arrow
1289324099185983489,pra quem curte um mdzin e assistir série assisti el club na netflix
1289318704111480833,mdzin de leves hj e amanha
1289255140336140295,hj ta bom pra dropar um mdzin
1289223953894920194,eu corpo implora por um mdzin
1289179253754327046,aparece um mdzin pra comprar e eu sem dinheiro
1289068715640795138,vc tá precisando eh de uma dose de mdzin isso sim
1289042612675117056,quinta chuvosa dessa mandei até um mdzin pra dentro
1288960605702021126,fazer um love com um mdzin na boca me identifiquei com o texto
1288861178496786438,só porq ia usar um mdzin sábado amanheci passando mal
1288636591896961024,n fala assim que eu fico tentando cara sabe q eu n resisto a um mdzin
1288582954155991042,mano a gente tem que parar de beber kkkk
1288582622415925252,kkkkkkkk fdpppp
1288582088812367878,eu todo dia kkkkk
1288440091283685377,sdd né minha filha tomar um mdzin e amar o role inteiro kkkkkkkkkkk
1288142302934896641,quando o mdzin tá o aço
1287928443041013760,quando ta com mdzin estralando
1287888832147402752,sexta pega a tal da braba e começo do mês mdzin top nem queria
1287806756865945601,fritando no nelix falto uma roda e um mdzin
