Id,Message
1291094944975814658,eu to no cafe por enquanto hahaha guarda as verdinha pra noite
1291094536597495809,esse verdinha tá aula poderia mandar uma pro rio hein
1291091843816599552,plantei um pé la no meu quintaltô vendendo a grama da verdinha a r1 kkkkkk
1291091067270553600,já pensou isso acontecer no prêmio multishow anitta e mc verdinha imagina o surto que seria
1291090262417125377,sonhei que ganhava muita maconha bem verdinha c florzinha e os crl
1291087611700883462,to ansioso pra virar as verdinha na night
1291086132919369728,soldado para mim tens algo contra militar gosta de uma verdinha né
1291086048802623488,igual só que a moeda seria verdinha
1291085640348717057,ce palmeiras ganhar eu pago uma verdinha
1291085434332876802,fico mt feliz em poder perceber essas mudanças amadurecer é um pouco disso também ne e eu ainda to verdinha
1291083907719471104,busquei minha carteira coisa mais linda vê a verdinha na minha mão
1291082368451850240,só queria esquecer esses negócio de ead e de repente acordar naquele paraíso os pamfleto de testemunhas de jeová acariciando aqueles tigre foda e vendo a grama verdinha
1291081198547206146,será que o  consegue gravar um áudio sem parecer q tá imitando a transmissão da verdinha
1291080873799036928,mais tarde vou fumar uma verdinha das pontas haha
1291078807303213057,espero que não seja verdinha essa semana pq olha
1291077596596310017,verdinha
1291075753954680832,melhor que a verdinha
1291073966384263175,eu tô tão ansiosa pro jogo mas taaaao que nem sei oq comprar pipoca ok refri ok queria uma verdinha mas acho que vou de skol mesmo
1291073514380959744,carai fiquei suave da verdinha vo dormi
1291071381958950912,isso msm ce vai aplicar a verdinha hj kkkkkk
1291071223116554240,adoro a minha pastinha verdinha de arquivinho
1291070317365006340,e só eu ouvi a música da ludmila grama da verdinha que eu lembro do bloco dela o melhor bloco pprt msm com as facadas q rolou kkkk
1291068346662817792,a verdinha né moh
1291067702463864832,e vamos de janta álbum com mais de 4 bilhões de streams manteu o recorde de álbum feminino com mais stream no debut sendo passado apenas por taylor swift três tours principais bem sucedidas uma discografia verdinha vamos a cristiano ronaldo agora
1291063370909650944,eu vou bem ali no colorado tomar uma verdinha
1291062396358975488,hummm era doida pela verdinha agora é so marketing pra brahma
1291061548681764865,ficou mt bonito isso to orgulhosa curei minha depressão tem salada de alface a verdinha normal e a roxa rúcula e beterraba feijão arroz com talo de beterraba e couve e uns legume daqueles congelado memo peito de frango couve e folha de beterraba refogado
1291060816360374274,abandonou mesmo a verdinha só pq eu pensei em mandar um fardo p você essa semana
1291060081598050304,a verdinha perdeu ela sabe que perdeu
1291059985162604545,deixou a verdinha de lado gizelly só quer saber de brahma agora né
1291059611395555328,ctz q compra verdinha
1291059415353786374,hmmmmmmmm mais do que a verdinha
1291059042606034951,a verdinha que se cuide pq os gostos da menina querida estão se
1291058714695401480,abduziram gizelly pq não fala mais da verdinha é sinal de publi
1291058592754405380,abandonou a verdinha  old que a duplo malte é melhor
1291058556079419393,aoooooow vontade de achar um buteco nesse ipatinga pra eu beber a verdinha
1291058415125626880,serasi ela trocou a verdinha por causa d deixa pra lá
